"Gene","logFC","t","PValue","FDR"
"ENSG00000168062",-2.62040820862316,-13.633016502551,1.08000451419762e-25,1.76914130769172e-23
"ENSG00000213928",-1.72562269676309,-13.6242795761606,1.1303069280658e-25,1.83557947507789e-23
"ENSG00000135148",-2.00300107235526,-13.6178636996578,1.16873731656424e-25,1.88176697174676e-23
"ENSG00000116663",-2.00849605347266,-13.6134270611079,1.19607657017115e-25,1.9094652905834e-23
"ENSG00000102524",-2.06955860665964,-13.6028240923421,1.26404192509604e-25,1.98724957345095e-23
"ENSG00000173110",-2.04673869995659,-13.601671032657,1.27166289660231e-25,1.98724957345095e-23
"ENSG00000164674",-1.5051005241078,-13.6009506413552,1.27644759734348e-25,1.98724957345095e-23
"ENSG00000180871",-2.15209602295012,-13.5853419706848,1.38467164094025e-25,2.12068653431158e-23
"ENSG00000159882",-1.84554231959588,-13.5856325608832,1.38257500837263e-25,2.12068653431158e-23
"ENSG00000141664",-1.61377075118704,-13.5527181974851,1.64153980899384e-25,2.49381668724403e-23
"ENSG00000151743",-2.43783404832029,-13.5352916075152,1.79782237190585e-25,2.70939022735699e-23
"ENSG00000225470",-1.66950258322574,-13.5298680253018,1.84944419839458e-25,2.76506585788548e-23
"ENSG00000111913",-1.36105071192887,-13.4733142868311,2.48491321146706e-25,3.68588937619028e-23
"ENSG00000115415",-1.52570914178732,-13.4614999228923,2.64316203545404e-25,3.83197366937491e-23
"ENSG00000009790",-1.1818064596982,-13.4614085955453,2.64442391452775e-25,3.83197366937491e-23
"ENSG00000167208",-1.58260101313672,-13.437657102142,2.99400041671084e-25,4.30541830916021e-23
"ENSG00000277511",-2.67656966650692,-13.4116448171059,3.43029106325036e-25,4.89544114011442e-23
"ENSG00000163568",-2.76188415543491,-13.3918360834893,3.8048595908843e-25,5.3891687949683e-23
"ENSG00000232815",-1.84529914580539,-13.3481472188724,4.78254961592754e-25,6.67360516035874e-23
"ENSG00000281100",-2.287637392321,-13.3408552675967,4.96871497537153e-25,6.88240093426829e-23
"ENSG00000101574",-1.47233025604391,-13.3389969848967,5.01730892000771e-25,6.89898287847483e-23
"ENSG00000125826",-1.25893784332504,-13.3223960064405,5.47314047737559e-25,7.4712333560001e-23
"ENSG00000146425",-1.36639577982965,-13.3103939098623,5.82836851441065e-25,7.85841095196649e-23
"ENSG00000235750",-1.8002424658712,-13.3029890755863,6.05897665080072e-25,8.0949646913322e-23
"ENSG00000070190",-2.0400819445769,-13.2974145850052,6.23860339678751e-25,8.23207090767456e-23
"ENSG00000172349",-1.1002854309936,-13.2819878775539,6.76404351575028e-25,8.84868414928498e-23
"ENSG00000106560",-1.74009662813272,-13.2753418719443,7.00388352289561e-25,9.09925226236604e-23
