"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000169710",1.01039785778962,7.37475683249516,2.84706863582402e-11,2.61880268367446e-10,"FASN","fatty acid synthase"
"ENSG00000137393",-1.11669274585282,-7.36756920167501,2.95293020152335e-11,2.70956157507535e-10,"RNF144B","ring finger protein 144B"
"ENSG00000163421",-1.15460058521886,-7.36578388750223,2.97982423676216e-11,2.73157805217156e-10,"PROK2","prokineticin 2"
"ENSG00000172426",-1.02197198924289,-7.363809355667,3.00985152225895e-11,2.75776181791411e-10,"RSPH9","radial spoke head component 9"
"ENSG00000259332",-2.00275354773872,-7.36357370086293,3.01345517143404e-11,2.75972136701383e-10,"ST20-MTHFS","ST20-MTHFS readthrough"
"ENSG00000285082",-1.26411887082777,-7.36210007048102,3.03608723299679e-11,2.77639860656279e-10,NA,NA
"ENSG00000166908",-1.11075101367576,-7.36219110466911,3.03468425675008e-11,2.77639860656279e-10,"PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"
"ENSG00000258476",-1.17716449680988,-7.35034509233754,3.22275802886138e-11,2.94139126684548e-10,"LINC01580","long intergenic non-protein coding RNA 1580"
"ENSG00000179918",-1.08509761607958,-7.34918967290341,3.24170924900782e-11,2.95439375098255e-10,"SEPHS2","selenophosphate synthetase 2"
"ENSG00000267120",-1.19066756249353,-7.34824766374468,3.25724182641621e-11,2.96711419371512e-10,NA,NA
"ENSG00000012779",-1.00304837206957,-7.34667675684757,3.28330842465394e-11,2.98941344145147e-10,"ALOX5","arachidonate 5-lipoxygenase"
"ENSG00000279549",1.19829766769807,7.34611787510989,3.29263192594794e-11,2.99500725354936e-10,NA,NA
"ENSG00000250608",-1.00175249488695,-7.34618314427829,3.29154172596915e-11,2.99500725354936e-10,"NUDT16-DT","NUDT16 divergent transcript"
"ENSG00000119969",1.00373173326297,7.34440482329546,3.32137360309253e-11,3.01823617631728e-10,"HELLS","helicase, lymphoid specific"
"ENSG00000112379",1.38465384557544,7.34408696195821,3.32673398809636e-11,3.02164970432783e-10,"ARFGEF3","ARFGEF family member 3"
"ENSG00000137834",1.22493931076583,7.34161677806183,3.3686842735652e-11,3.05680512261181e-10,"SMAD6","SMAD family member 6"
"ENSG00000138061",-1.46575111770702,-7.33600744130954,3.46590314401202e-11,3.13595981877514e-10,"CYP1B1","cytochrome P450 family 1 subfamily B member 1"
"ENSG00000257242",1.06278117835962,7.33165311606605,3.54328356089138e-11,3.19982625695454e-10,"LINC01619","long intergenic non-protein coding RNA 1619"
"ENSG00000184313",1.42234797037452,7.3223835480056,3.71376150204086e-11,3.33777858661478e-10,"MROH7","maestro heat like repeat family member 7"
"ENSG00000152784",-1.01162032334403,-7.31843025923019,3.78891707826109e-11,3.39883904382297e-10,"PRDM8","PR/SET domain 8"
"ENSG00000117400",1.17901625443023,7.3175660399963,3.80554639767379e-11,3.41050823213029e-10,"MPL","MPL proto-oncogene, thrombopoietin receptor"
"ENSG00000197653",1.47844319224769,7.31515145513931,3.85239226185844e-11,3.44606826083846e-10,"DNAH10","dynein axonemal heavy chain 10"
"ENSG00000154889",-1.03255115916256,-7.31514375297405,3.85254260395254e-11,3.44606826083846e-10,"MPPE1","metallophosphoesterase 1"
"ENSG00000172322",-1.03410937609642,-7.31140981012687,3.92611617779659e-11,3.50688366796265e-10,"CLEC12A","C-type lectin domain family 12 member A"
"ENSG00000090971",1.2179443314895,7.31111217166244,3.93204042060125e-11,3.51051077930267e-10,"NAT14","N-acetyltransferase 14 (putative)"
"ENSG00000196876",1.17852992604659,7.30986266309927,3.95700765993783e-11,3.53112791558071e-10,"SCN8A","sodium voltage-gated channel alpha subunit 8"
"ENSG00000182979",1.14459293260072,7.30849025552845,3.98461172365887e-11,3.55407744556277e-10,"MTA1","metastasis associated 1"
