"Gene","logFC","t","PValue","FDR"
"ENSG00000285171",-1.31828148865085,-6.90608671997903,3.00007985524473e-10,2.28161099366573e-09
"ENSG00000041357",-0.814006685938088,-6.90525246613003,3.01253360637338e-10,2.29015771093066e-09
"ENSG00000188687",-1.02282519280412,-6.90414434347252,3.02915477674845e-10,2.30186436806726e-09
"ENSG00000110200",0.72041974266594,6.90350627799446,3.03876649195174e-10,2.30823722481399e-09
"ENSG00000197008",-1.04219172569662,-6.90225932048915,3.05763762517783e-10,2.32163553337767e-09
"ENSG00000182263",1.39657081404607,6.90043445175777,3.08546384890128e-10,2.34181982214352e-09
"ENSG00000186205",-1.10945189869648,-6.90007100330334,3.09103567245821e-10,2.34510390647474e-09
"ENSG00000139343",0.809150393542683,6.89790469357605,3.12445318932227e-10,2.36950278504239e-09
"ENSG00000250903",-0.579636455195399,-6.89712380145872,3.13658665438164e-10,2.37774725936585e-09
"ENSG00000198755",0.66715269857146,6.89566735218001,3.15934154804635e-10,2.39403363162096e-09
"ENSG00000110497",-0.782772868618223,-6.89494641427464,3.1706654875918e-10,2.40164843004642e-09
"ENSG00000168282",-1.84789792089903,-6.8948332206405,3.17244708899657e-10,2.40203208450633e-09
"ENSG00000101161",-0.369326259403149,-6.89278301319871,3.20488806894226e-10,2.42561998564621e-09
"ENSG00000111052",-1.00236869044535,-6.89257630425293,3.208177031755e-10,2.42713409334139e-09
"ENSG00000161920",-0.884245166676753,-6.89245095917736,3.21017303310638e-10,2.42766919300113e-09
"ENSG00000146955",-1.00284878901509,-6.89216615269014,3.21471287324119e-10,2.43012685016523e-09
"ENSG00000177054",-0.726394492781972,-6.89171463294839,3.22192315392416e-10,2.43460041611004e-09
"ENSG00000146285",-0.658872054190758,-6.89080912223872,3.23643141648033e-10,2.44458279966546e-09
"ENSG00000272831",-0.949602706755871,-6.88846923920281,3.27422135543465e-10,2.4721355468408e-09
"ENSG00000198763",0.632403193174772,6.88729255526768,3.29338980142829e-10,2.4856120624722e-09
"ENSG00000198216",-1.06240456023509,-6.88481564528509,3.33410267245681e-10,2.51443804699925e-09
"ENSG00000239857",0.790561218024711,6.88480654100293,3.33425323357263e-10,2.51443804699925e-09
"ENSG00000100591",-0.926374424821525,-6.88453838978218,3.33869077337367e-10,2.51677698234547e-09
"ENSG00000110619",-0.718211218780522,-6.88256495309906,3.37152864540079e-10,2.54051426488241e-09
"ENSG00000168826",-0.884091452692931,-6.87959616697412,3.42153170721725e-10,2.57716170733941e-09
"ENSG00000168297",-1.06030816093791,-6.87874262603219,3.43604309807249e-10,2.58705754922021e-09
"ENSG00000143669",-0.657827273238752,-6.87640677107141,3.47606785280492e-10,2.6161472717195e-09
"ENSG00000213443",-1.76851933557832,-6.87406092062506,3.51672788075422e-10,2.64569168600831e-09
"ENSG00000101966",-0.881064333196089,-6.87260722091855,3.54216016639759e-10,2.66376100657077e-09
"ENSG00000100897",-0.511774351307047,-6.8718089366204,3.55620332382923e-10,2.67325451772925e-09
"ENSG00000164758",-0.896952753402884,-6.87153619261611,3.56101395593945e-10,2.6758029877139e-09
"ENSG00000244491",1.24222151862611,6.86698972475938,3.64215843789068e-10,2.73568503401055e-09
"ENSG00000104221",-0.821541518744645,-6.86670226967384,3.64734990402163e-10,2.73849252658268e-09
"ENSG00000206047",4.22079417483448,6.86631227889879,3.65440487503915e-10,2.74160410338461e-09
"ENSG00000230590",-0.721104675112685,-6.86634576459033,3.6537985863821e-10,2.74160410338461e-09
"ENSG00000162078",1.13880889165033,6.86522523853832,3.67414085091281e-10,2.7553131110468e-09
"ENSG00000279345",1.23824622687179,6.865074098204,3.6768932424646e-10,2.75627994037199e-09
"ENSG00000267796",-0.704323007786542,-6.86230477427678,3.72768742714523e-10,2.79324485889267e-09
"ENSG00000175387",-0.364414248876115,-6.86121756014775,3.74781795384898e-10,2.80721250952712e-09
"ENSG00000102879",-0.61912651579287,-6.86050021763524,3.7611588763872e-10,2.8160854894031e-09
"ENSG00000130734",0.734507381124637,6.85801799158296,3.80768600009761e-10,2.84978898966383e-09
"ENSG00000197837",-1.07162941096507,-6.85621376234737,3.84186143400671e-10,2.87422500769732e-09
"ENSG00000232956",0.707972863965673,6.85448024613921,3.87498309478925e-10,2.89785357442e-09
"ENSG00000185340",1.04722902320974,6.85286279901262,3.90614163587851e-10,2.91999587843966e-09
"ENSG00000063015",-1.00928747127627,-6.85199009645612,3.92305616651971e-10,2.93147687683055e-09
"ENSG00000172530",-0.437313326557753,-6.85046867876609,3.95271731887706e-10,2.95246981970683e-09
"ENSG00000161021",-0.533594447302858,-6.85002720522073,3.96136560294629e-10,2.95775684614753e-09
"ENSG00000135451",0.897892541176724,6.84776779580204,4.00592027126426e-10,2.9898385923168e-09
"ENSG00000266405",-1.02871892985,-6.8464101879279,4.03292971167945e-10,3.00880514489574e-09
"ENSG00000065243",-0.503967900820328,-6.84478144424969,4.06557105767689e-10,3.03195675314795e-09
"ENSG00000096401",-0.609097974813794,-6.84446234711178,4.07199655927775e-10,3.03554694039075e-09
"ENSG00000164855",1.10091264700417,6.84397407051083,4.08184818786948e-10,3.04168734822331e-09
"ENSG00000139970",1.33665106576497,6.84328592489546,4.09577246371931e-10,3.050856531101e-09
"ENSG00000186908",-0.837869033185362,-6.84206525175348,4.12058780709161e-10,3.06812779090877e-09
"ENSG00000086300",-1.22398558419148,-6.84141236066859,4.13392154157372e-10,3.07664343261413e-09
"ENSG00000260107",1.22092839897209,6.84134542297108,4.13529099234471e-10,3.07664343261413e-09
"ENSG00000248099",-0.966578702472067,-6.84115425643387,4.1392044600776e-10,3.07760384011854e-09
"ENSG00000117899",-0.638840014004174,-6.84112277369682,4.13984931036223e-10,3.07760384011854e-09
"ENSG00000186010",0.622665356163428,6.84015662037056,4.15968707559978e-10,3.09113156331948e-09
"ENSG00000230869",-1.12319352854868,-6.83899167570644,4.18373159625119e-10,3.10777349409227e-09
"ENSG00000171612",0.992381466498377,6.83888258778764,4.18599020129967e-10,3.10822559763828e-09
"ENSG00000158773",-0.891647473454477,-6.83821861591053,4.1997633961461e-10,3.11722391081955e-09
"ENSG00000117298",-0.779840059176587,-6.83747620321237,4.21521680627203e-10,3.12746176433842e-09
"ENSG00000113240",-0.750783217363105,-6.83441574976007,4.2795163118537e-10,3.17391843632677e-09
"ENSG00000238083",-0.680263412782342,-6.8339229307584,4.28996060422509e-10,3.18041235192414e-09
"ENSG00000186469",-0.562366806543414,-6.83283737065598,4.31305581746055e-10,3.19627637644854e-09
"ENSG00000272345",-0.960911690271959,-6.83274112605807,4.31510933731416e-10,3.19654068801904e-09
"ENSG00000167100",1.26712330618788,6.83208791920846,4.32907203256924e-10,3.20436380941215e-09
"ENSG00000110066",-0.497447826298769,-6.83215995667482,4.32752999880603e-10,3.20436380941215e-09
"ENSG00000137996",-0.695229226007349,-6.83104668620656,4.35142143488778e-10,3.21964167283645e-09
"ENSG00000181616",-1.22555866714063,-6.8271463093435,4.43615922374682e-10,3.28105094059453e-09
"ENSG00000170175",-0.883346989349074,-6.82336203866588,4.51993329331459e-10,3.34169950468839e-09
"ENSG00000215244",-0.965517256204497,-6.82155990699337,4.56037579064339e-10,3.37027693778502e-09
"ENSG00000171316",-0.669645233047742,-6.82088808752915,4.57554378194986e-10,3.38016053977928e-09
"ENSG00000141582",1.01094727941465,6.81898746193417,4.61872580168485e-10,3.41072350655191e-09
"ENSG00000165879",-0.897248794891507,-6.81837834251772,4.63265000134415e-10,3.41966538892324e-09
"ENSG00000196873",-0.815917466520829,-6.81677208346879,4.66956770176048e-10,3.44556664182389e-09
"ENSG00000248587",1.30165168255477,6.81628021962859,4.68093058962343e-10,3.45259868626962e-09
"ENSG00000181631",-1.14785830650195,-6.815137642133,4.70743167864057e-10,3.47078661300317e-09
"ENSG00000084070",-0.825302057936378,-6.81461769180931,4.71954052997799e-10,3.47835307135076e-09
"ENSG00000100744",-1.0008288419077,-6.8142028306925,4.72922409605678e-10,3.48412684871011e-09
"ENSG00000232160",-0.939927401515883,-6.813839557963,4.73771963035197e-10,3.4890212039316e-09
"ENSG00000112234",-0.46062583090369,-6.81277359732394,4.76273548612242e-10,3.50607311792005e-09
"ENSG00000285976",-1.27925804255497,-6.81108019779798,4.80274477189786e-10,3.53414476613328e-09
"ENSG00000161970",0.629323531055077,6.80756198887364,4.88693341620214e-10,3.59469159290964e-09
"ENSG00000251002",-1.06508187260705,-6.80725170172125,4.89442803733866e-10,3.59879919466767e-09
"ENSG00000028116",-1.38790318674504,-6.80617162656296,4.92060470506539e-10,3.61656255153912e-09
"ENSG00000160199",-0.766109181953549,-6.80609668344207,4.92242615041209e-10,3.61656255153912e-09
"ENSG00000100296",-0.596117769539404,-6.80466523472537,4.95734484136943e-10,3.64079774353674e-09
"ENSG00000160593",-0.684979247854072,-6.80357291167566,4.98415554234703e-10,3.65906165653677e-09
"ENSG00000146066",0.557418297739133,6.80305296831007,4.99696768190634e-10,3.66703845702188e-09
"ENSG00000118412",-0.821234278191756,-6.80223344176461,5.01722810630665e-10,3.68047286084909e-09
"ENSG00000151650",1.24568108163082,6.80210378353896,5.02044096279165e-10,3.68139614079678e-09
"ENSG00000154803",-0.876304575712281,-6.79873892471233,5.1045352338026e-10,3.74160446437251e-09
"ENSG00000088247",1.12739136259328,6.79688068383786,5.1515715095795e-10,3.77461315042624e-09
"ENSG00000164877",1.12105970431019,6.79550416163902,5.18669039882827e-10,3.79886756349638e-09
"ENSG00000276180",1.02574668276933,6.79152091280063,5.28965286891583e-10,3.87277422248878e-09
"ENSG00000215472",-1.28657103890035,-6.79060888843293,5.31351046496995e-10,3.88591034532947e-09
"ENSG00000109906",-1.06696369127058,-6.79071395229954,5.31075669326324e-10,3.88591034532947e-09
"ENSG00000221995",-0.889464163488426,-6.79059848056892,5.31378333664334e-10,3.88591034532947e-09
"ENSG00000137812",0.989917289496746,6.7903864708854,5.31934478774172e-10,3.88846787394173e-09
"ENSG00000103343",-0.792091009114563,-6.78977596996503,5.3353916449788e-10,3.89868533002756e-09
"ENSG00000166477",-0.896739606854114,-6.78952818219896,5.34191832562963e-10,3.90194096231915e-09
"ENSG00000131873",-0.750295634863292,-6.78878527202122,5.36153377159332e-10,3.91475089880911e-09
"ENSG00000077514",-0.952491804739409,-6.78826875593816,5.37521355792857e-10,3.92321863635251e-09
"ENSG00000274618",1.18454657556838,6.7876812963549,5.39081420230932e-10,3.93308125263761e-09
"ENSG00000140807",-0.888880529332885,-6.78672828513232,5.41621772824359e-10,3.9500855425727e-09
"ENSG00000143553",-0.839258376342993,-6.78652037557153,5.42177548228122e-10,3.95260861204387e-09
"ENSG00000128891",-0.645427567365613,-6.78617051561441,5.43114052395392e-10,3.95790426267869e-09
"ENSG00000168395",0.630830934993693,6.78436328534548,5.47977163434883e-10,3.99179961515326e-09
"ENSG00000147123",0.560541149251001,6.78411163474473,5.48657740113551e-10,3.99521241138735e-09
"ENSG00000106804",-1.11117328708863,-6.78288999451561,5.51973497344345e-10,4.01780399651189e-09
"ENSG00000175826",0.796862228172068,6.78256743388498,5.52852286851558e-10,4.02264634210492e-09
"ENSG00000146216",1.20686359726814,6.78243305980998,5.53218785730885e-10,4.02375887474842e-09
