"PC","Variance_Explained_Percent"
"PC184",0.0790740077335506
"PC185",0.0786883673291007
"PC186",0.0781384987217736
"PC187",0.0780400630790564
"PC188",0.077383466343407
"PC189",0.0771955676014423
"PC190",0.077025941500222
"PC191",0.0767026557491521
"PC192",0.076401484497013
"PC193",0.0761797630693247
"PC194",0.075416353997594
"PC195",0.0751373840251978
"PC196",0.0748842975484499
"PC197",0.0744302164733544
"PC198",0.0743513479330318
"PC199",0.0740108341710954
"PC200",0.0737779611775016
"PC201",0.0737297164178494
"PC202",0.073312641092716
"PC203",0.0727905033059542
"PC204",0.072240958626538
"PC205",0.0719234171065683
"PC206",0.0718135955541961
"PC207",0.0716262889858966
"PC208",0.0715303426943264
"PC209",0.071025770609024
"PC210",0.0707600230406681
"PC211",0.070599299018103
"PC212",0.0700377290634826
"PC213",0.0699833638901648
"PC214",0.0698623421010269
"PC215",0.0696676292487253
"PC216",0.0691400441659031
"PC217",0.0687997328076124
"PC218",0.0685894442849159
"PC219",0.0682077238732166
"PC220",0.0680381177826503
"PC221",0.067743486220803
"PC222",0.0675637936019822
"PC223",0.0669855420435927
"PC224",0.0667586906648913
"PC225",0.0666563357554724
"PC226",0.06620315606349
"PC227",0.0659234603700213
"PC228",0.065695684163964
"PC229",0.0656571990696091
"PC230",0.0653730925279886
"PC231",0.0650611034540983
"PC232",0.0649449601665425
"PC233",0.0646594642641163
"PC234",0.0643656264221492
"PC235",0.0639853355371545
"PC236",0.0638994902458079
"PC237",0.0635271904816586
"PC238",0.0633143889145219
"PC239",0.0629546048438021
"PC240",0.0626198235561409
"PC241",0.0620647686754312
"PC242",0.0619101883984013
"PC243",0.0618634933615072
"PC244",0.061672641706088
"PC245",0.0613718082180415
"PC246",0.0612946912438965
"PC247",0.0608528324060935
"PC248",0.0606776514863363
"PC249",0.0604202028371059
"PC250",0.0601044735899492
"PC251",0.0600955031079793
"PC252",0.0598807605821835
"PC253",0.0596308952538979
"PC254",0.0595519413339208
"PC255",0.0592851508160559
"PC256",0.0588153151920072
"PC257",0.0586682508274189
"PC258",0.0585079380733102
"PC259",0.0581702254745105
"PC260",0.0579302514770031
"PC261",0.0576406846964767
"PC262",0.0574463377410954
"PC263",0.0573308867590216
"PC264",0.0570981360036234
