"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000115128",-0.478282541703249,-4.94100765489394,2.68957049312723e-06,1.432460530097e-05,"SF3B6","splicing factor 3b subunit 6"
"ENSG00000227512",0.779384744833235,4.9388102196638,2.71463861119113e-06,1.44499469221866e-05,NA,NA
"ENSG00000174123",-0.497966633106454,-4.93883577526394,2.71434577417162e-06,1.44499469221866e-05,"TLR10","toll like receptor 10"
"ENSG00000276698",-0.501952983908055,-4.93783468469754,2.72584008417996e-06,1.45032058554309e-05,NA,NA
"ENSG00000145687",-0.488522897235659,-4.93780480523105,2.72618388014018e-06,1.45032058554309e-05,"SSBP2","single stranded DNA binding protein 2"
"ENSG00000137507",0.934587834875218,4.93746160570725,2.73013579039636e-06,1.45201293109787e-05,"LRRC32","leucine rich repeat containing 32"
"ENSG00000171311",-0.399905352722771,-4.93705034579285,2.73487874567316e-06,1.45412491704744e-05,"EXOSC1","exosome component 1"
"ENSG00000176261",-0.328654898658569,-4.9362586158004,2.74403212998991e-06,1.45858005826044e-05,"ZBTB8OS","zinc finger and BTB domain containing 8 opposite strand"
"ENSG00000158813",0.900756300187257,4.93577485705304,2.7496396345121e-06,1.46114841847501e-05,"EDA","ectodysplasin A"
"ENSG00000274602",0.584843313518152,4.93449386264063,2.76454218122372e-06,1.46865328849104e-05,NA,NA
"ENSG00000204315",-0.51232674059292,-4.93129154265139,2.80214093344989e-06,1.48820780671917e-05,"FKBPL","FKBP prolyl isomerase like"
"ENSG00000170540",-0.384965229373608,-4.93008610862714,2.81642244021169e-06,1.49537108029053e-05,"ARL6IP1","ARL6 interacting reticulophagy regulator 1"
"ENSG00000220842",0.612006130319381,4.92969686048206,2.821049193132e-06,1.49716941207055e-05,"RPL21P16","ribosomal protein L21 pseudogene 16"
"ENSG00000151882",0.600618535489825,4.92966745755402,2.82139898760508e-06,1.49716941207055e-05,"CCL28","C-C motif chemokine ligand 28"
"ENSG00000175130",0.633972005775633,4.92905637946169,2.82867828180243e-06,1.50060944727103e-05,"MARCKSL1","MARCKS like 1"
"ENSG00000280347",0.540720639070035,4.92797021120803,2.84166204203804e-06,1.50707290393898e-05,NA,NA
"ENSG00000117505",-0.419532237304332,-4.92717742094563,2.85117539575686e-06,1.51169271334837e-05,"DR1","down-regulator of transcription 1"
"ENSG00000228065",1.02589859969266,4.92708318613642,2.85230825464923e-06,1.5118678362713e-05,NA,NA
"ENSG00000218510",-0.399498927073231,-4.92565831913427,2.86949093973366e-06,1.52054768840233e-05,"LINC00339","long intergenic non-protein coding RNA 339"
"ENSG00000081760",0.485588950076346,4.9254445639078,2.87207731000117e-06,1.52149022401018e-05,"AACS","acetoacetyl-CoA synthetase"
"ENSG00000236867",0.851452625330875,4.92432714097389,2.88563469997848e-06,1.528242521175e-05,NA,NA
"ENSG00000249476",-0.467745398467383,-4.92407128041642,2.88874772812617e-06,1.52946120580216e-05,"LOC285638","uncharacterized LOC285638"
"ENSG00000206047",2.70083546946089,4.9239259631792,2.89051724070713e-06,1.52996807475249e-05,"DEFA1","defensin alpha 1"
"ENSG00000169914",0.483806744442913,4.92326955796797,2.89852335398773e-06,1.53377480175339e-05,"OTUD3","OTU deubiquitinase 3"
"ENSG00000175164",0.717219254785655,4.92079554153336,2.92889286921201e-06,1.54940982505521e-05,"ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
"ENSG00000135823",-0.478451243918333,-4.92014387010347,2.93694371304343e-06,1.55323261275441e-05,"STX6","syntaxin 6"
"ENSG00000065833",0.910739201360655,4.92000067542491,2.93871564125146e-06,1.55373351809977e-05,"ME1","malic enzyme 1"
"ENSG00000131966",-0.674132246776277,-4.91953780864805,2.94445038579377e-06,1.55589218422393e-05,"ACTR10","actin related protein 10"
"ENSG00000135631",0.629568191166013,4.91956445553291,2.94411994609264e-06,1.55589218422393e-05,"RAB11FIP5","RAB11 family interacting protein 5"
"ENSG00000115091",-0.624365181576688,-4.91926635714215,2.94781862584272e-06,1.55723520116728e-05,"ACTR3","actin related protein 3"
"ENSG00000185630",0.882226175682726,4.91890859380524,2.95226356610415e-06,1.55870911037752e-05,"PBX1","PBX homeobox 1"
"ENSG00000139726",-0.374433941014353,-4.91895717106756,2.95165964818355e-06,1.55870911037752e-05,"DENR","density regulated re-initiation and release factor"
"ENSG00000205853",0.80534809625451,4.91868199965061,2.95508219682994e-06,1.55888654225378e-05,"RFPL3S","RFPL3 antisense"
"ENSG00000283674",0.60253821714471,4.91875266077427,2.95420295447068e-06,1.55888654225378e-05,"LOC729732","uncharacterized LOC729732"
"ENSG00000197111",0.270184608208182,4.91871359142301,2.95468906629253e-06,1.55888654225378e-05,"PCBP2","poly(rC) binding protein 2"
"ENSG00000255112",-0.447557686969256,-4.9182407175913,2.96057886360956e-06,1.56134895388233e-05,"CHMP1B","charged multivesicular body protein 1B"
"ENSG00000182263",1.05739921104636,4.91680900138367,2.97848101517363e-06,1.57035055594293e-05,"FIGN","fidgetin, microtubule severing factor"
"ENSG00000165802",0.694014119424213,4.91536132693542,2.99668966876753e-06,1.57950867320209e-05,"NSMF","NMDA receptor synaptonuclear signaling and neuronal migration factor"
"ENSG00000285976",-0.872859772318413,-4.91485789367806,3.00304710133003e-06,1.5824168194365e-05,"LOC128125822","uncharacterized LOC128125822"
"ENSG00000188107",-0.73529504149206,-4.91469784681898,3.00507094224314e-06,1.58304044770627e-05,"EYS","EGF-like photoreceptor maintenance factor"
"ENSG00000109686",0.783875777119182,4.91418170769682,3.01160671206395e-06,1.58603990052728e-05,"SH3D19","SH3 domain containing 19"
"ENSG00000196455",-0.602857155118912,-4.91312835118581,3.02498805633556e-06,1.59264183916292e-05,"PIK3R4","phosphoinositide-3-kinase regulatory subunit 4"
"ENSG00000136040",-0.544247949955604,-4.9128459921083,3.02858482231074e-06,1.59408999392819e-05,"PLXNC1","plexin C1"
"ENSG00000256646",-0.97171568119453,-4.91265755295268,3.03098752312984e-06,1.59457718752555e-05,NA,NA
"ENSG00000197782",-0.477614340108128,-4.91264063160432,3.03120337006529e-06,1.59457718752555e-05,"ZNF780A","zinc finger protein 780A"
"ENSG00000270049",-0.477025307903666,-4.91221991805784,3.03657475319529e-06,1.59651116943045e-05,"ATP6V0D1-DT","ATP6V0D1 divergent transcript"
"ENSG00000197355",0.402468342574218,4.91226587145297,3.03598760192925e-06,1.59651116943045e-05,"UAP1L1","UDP-N-acetylglucosamine pyrophosphorylase 1 like 1"
"ENSG00000101972",-0.549975572426928,-4.91168261343973,3.04344814364359e-06,1.59967846344749e-05,"STAG2","STAG2 cohesin complex component"
"ENSG00000125818",-0.355838607088726,-4.91136289304563,3.04754529273286e-06,1.60138516665277e-05,"PSMF1","proteasome inhibitor subunit 1"
"ENSG00000182196",0.36914779697259,4.91059594158355,3.05739547701881e-06,1.60611310641607e-05,"ARL6IP4","ARF like GTPase 6 interacting protein 4"
"ENSG00000004961",-0.511244172979428,-4.90772848465793,3.09449789944166e-06,1.62515058348709e-05,"HCCS","holocytochrome c synthase"
"ENSG00000153443",0.661933583133753,4.90765995466853,3.09538995036118e-06,1.62516599456254e-05,"UBALD1","UBA like domain containing 1"
"ENSG00000254363",0.763904437228614,4.90719742098902,3.10141726313024e-06,1.62697015880945e-05,NA,NA
"ENSG00000178951",0.760780061598391,4.90732321266072,3.09977693379579e-06,1.62697015880945e-05,"ZBTB7A","zinc finger and BTB domain containing 7A"
"ENSG00000168894",-0.445145348182018,-4.90721788443643,3.10115036137236e-06,1.62697015880945e-05,"RNF181","ring finger protein 181"
"ENSG00000129055",-0.500644405906469,-4.9067475400795,3.10729063728468e-06,1.62959746729312e-05,"ANAPC13","anaphase promoting complex subunit 13"
"ENSG00000131969",-0.697593115347163,-4.90627443582319,3.11347886142639e-06,1.63238838829809e-05,"ABHD12B","abhydrolase domain containing 12B"
"ENSG00000108828",0.519046275638151,4.90609802085483,3.11578944093985e-06,1.63314528348428e-05,"VAT1","vesicle amine transport 1"
