"Gene","logFC","t","PValue","FDR"
"ENSG00000254519",1.02270803067932,5.45599363549821,2.87088789563461e-07,1.27251261595211e-06
"ENSG00000236279",1.01547088765601,5.45396739533822,2.89695386884936e-07,1.28285888531698e-06
"ENSG00000276046",1.0326158616276,5.45204616529213,2.92188272847238e-07,1.29268264065201e-06
"ENSG00000228065",1.17192723311495,5.44652329140591,2.99471907613135e-07,1.32118309030825e-06
"ENSG00000145113",1.01959802505242,5.4439978154552,3.02861428567666e-07,1.33488619357924e-06
"ENSG00000215182",1.08164700289338,5.43567286228435,3.14302478391482e-07,1.38143492485738e-06
"ENSG00000164237",1.03527454396271,5.43548549856981,3.14564777902289e-07,1.38226528717596e-06
"ENSG00000071282",1.08886218242483,5.43008364955425,3.22219837052225e-07,1.41227949985803e-06
"ENSG00000215386",1.03501049756244,5.42804472680539,3.25156343593694e-07,1.42448725595768e-06
"ENSG00000279419",1.0483093066731,5.42631937677405,3.27661666159965e-07,1.43412882600405e-06
"ENSG00000236670",1.05304774341579,5.42196833362202,3.3406380107232e-07,1.46045344270141e-06
"ENSG00000187398",1.09583829689245,5.41532738785289,3.44071812747897e-07,1.49898816108808e-06
"ENSG00000280180",1.09522056201797,5.41457952466258,3.45217057068302e-07,1.50293480958e-06
"ENSG00000260196",1.08555645027542,5.41425698676903,3.45712126897417e-07,1.50474238597355e-06
"ENSG00000244306",1.00151346269444,5.41295220138201,3.47721962466563e-07,1.51314075512708e-06
"ENSG00000203499",1.07245958762406,5.41267552129458,3.48149614568666e-07,1.51430211019269e-06
"ENSG00000136535",1.15940936375,5.40955466633116,3.53009141404043e-07,1.53331478113197e-06
"ENSG00000279110",1.01739286129748,5.40874453351939,3.54281414879439e-07,1.53806220612269e-06
"ENSG00000075391",1.07414039618782,5.40489531816088,3.60387935747635e-07,1.56176395988359e-06
"ENSG00000241322",1.05426984601412,5.4031595446818,3.63175177410526e-07,1.5727572395539e-06
"ENSG00000263934",1.08491090924749,5.39196266402901,3.81667952229349e-07,1.64867252558965e-06
"ENSG00000229727",1.13476731114336,5.39024458553982,3.84585815906034e-07,1.65975431845083e-06
"ENSG00000267601",1.57216548767622,5.38831171075302,3.87894545356836e-07,1.67135348706132e-06
"ENSG00000187902",1.08719818598708,5.38760740184884,3.89107098018487e-07,1.67504559242968e-06
"ENSG00000168418",1.05916682041549,5.38438895902261,3.94695352905937e-07,1.69484181856441e-06
"ENSG00000203757",1.07916551764804,5.3826072136329,3.97822696958862e-07,1.70629931395745e-06
"ENSG00000260966",1.05734889234376,5.38230077293274,3.98363001618752e-07,1.70786577708103e-06
"ENSG00000267272",1.07863402207594,5.38049859545938,4.01555076812008e-07,1.71881266461818e-06
"ENSG00000185823",1.09125568037177,5.37804073894576,4.05948843842835e-07,1.7356478257629e-06
"ENSG00000163285",1.15921107008465,5.37741593950336,4.07073231522778e-07,1.73966550259212e-06
"ENSG00000163873",1.18428472160258,5.3755762263176,4.10401682256289e-07,1.75349215022544e-06
"ENSG00000167080",1.13903826965743,5.3747979075938,4.11817828313372e-07,1.75874501241607e-06
"ENSG00000258636",1.22678468015223,5.37371260825439,4.1380050011485e-07,1.76601128707828e-06
"ENSG00000163710",1.05772624916488,5.37269204291478,4.15673423118111e-07,1.7723983577861e-06
"ENSG00000069431",1.07046036649998,5.37191341096408,4.17107924063753e-07,1.77811248552002e-06
"ENSG00000118785",1.05813140338179,5.36985818156477,4.20917626831555e-07,1.79273033105422e-06
"ENSG00000165238",1.07915187919608,5.36718974637344,4.25914783504618e-07,1.81155626363965e-06
"ENSG00000170500",1.14314717023518,5.36618017642835,4.2782047591648e-07,1.81781535400072e-06
"ENSG00000229794",1.12832507436735,5.36438161337601,4.31236162120824e-07,1.82964568063786e-06
