"feature","factor","value","view"
"OID20221","Factor1",0.359981596469879,"Protein"
"OID21410","Factor1",0.342509478330612,"Protein"
"OID21225","Factor1",0.29433411359787,"Protein"
"OID21385","Factor1",0.078725554049015,"Protein"
"OID21155","Factor1",0.427231520414352,"Protein"
"OID20610","Factor1",0.247787401080132,"Protein"
"OID20935","Factor1",0.460635095834732,"Protein"
"OID21327","Factor1",0.232229590415955,"Protein"
"OID20748","Factor1",0.309212237596512,"Protein"
"OID20708","Factor1",0.407399952411652,"Protein"
"OID20567","Factor1",0.182781562209129,"Protein"
"OID20647","Factor1",0.379799574613571,"Protein"
"OID20968","Factor1",0.178759440779686,"Protein"
"OID20383","Factor1",0.440692663192749,"Protein"
"OID21036","Factor1",0.199649289250374,"Protein"
"OID20978","Factor1",0.0775642022490501,"Protein"
"OID20327","Factor1",0.345156580209732,"Protein"
"OID20958","Factor1",0.430432587862015,"Protein"
"OID20252","Factor1",0.26251494884491,"Protein"
"OID20642","Factor1",0.271427810192108,"Protein"
"OID20205","Factor1",0.437695264816284,"Protein"
"OID21248","Factor1",0.0114680640399456,"Protein"
"OID21150","Factor1",0.237594395875931,"Protein"
"OID21111","Factor1",0.148340687155724,"Protein"
"OID21121","Factor1",0.234518080949783,"Protein"
"OID20295","Factor1",0.367986768484116,"Protein"
"OID21281","Factor1",0.282017439603806,"Protein"
"OID20650","Factor1",0.33039465546608,"Protein"
"OID20895","Factor1",0.372258096933365,"Protein"
"OID20459","Factor1",0.247678279876709,"Protein"
"OID21457","Factor1",0.392187863588333,"Protein"
"OID20485","Factor1",0.380890011787415,"Protein"
"OID20786","Factor1",0.451831579208374,"Protein"
"OID20859","Factor1",0.155441656708717,"Protein"
"OID20298","Factor1",0.107643090188503,"Protein"
"OID21142","Factor1",0.41584512591362,"Protein"
"OID20744","Factor1",0.206736519932747,"Protein"
"OID20400","Factor1",0.428935199975967,"Protein"
"OID20344","Factor1",0.345405578613281,"Protein"
"OID20107","Factor1",0.266824811697006,"Protein"
"OID20762","Factor1",0.153481617569923,"Protein"
"OID21128","Factor1",0.188604682683945,"Protein"
"OID21313","Factor1",0.143998205661774,"Protein"
"OID20985","Factor1",0.39056721329689,"Protein"
"OID21021","Factor1",0.402676403522491,"Protein"
"OID21513","Factor1",0.347030222415924,"Protein"
"OID21486","Factor1",0.44426155090332,"Protein"
"OID20992","Factor1",0.164228707551956,"Protein"
"OID20508","Factor1",0.21636737883091,"Protein"
"OID20276","Factor1",0.270820528268814,"Protein"
"OID20975","Factor1",0.382514089345932,"Protein"
"OID21125","Factor1",0.434497088193893,"Protein"
"OID21448","Factor1",0.41679784655571,"Protein"
"OID21477","Factor1",0.306122809648514,"Protein"
"OID21372","Factor1",0.356007725000381,"Protein"
"OID20759","Factor1",0.301552981138229,"Protein"
"OID21066","Factor1",0.28252112865448,"Protein"
"OID20536","Factor1",0.370217889547348,"Protein"
"OID21198","Factor1",0.126925975084305,"Protein"
"OID21427","Factor1",0.190619513392448,"Protein"
"OID21075","Factor1",0.196370050311089,"Protein"
"OID20886","Factor1",0.208420634269714,"Protein"
"OID20674","Factor1",0.339182257652283,"Protein"
"OID21034","Factor1",0.375014752149582,"Protein"
"OID20749","Factor1",0.223203524947166,"Protein"
"OID21328","Factor1",0.405472427606583,"Protein"
"OID20722","Factor1",0.420965522527695,"Protein"
"OID20617","Factor1",0.39590859413147,"Protein"
"OID21463","Factor1",0.278063327074051,"Protein"
"OID20226","Factor1",0.334470897912979,"Protein"
"OID20561","Factor1",0.444786995649338,"Protein"
"OID21141","Factor1",0.163723781704903,"Protein"
"OID20474","Factor1",0.244243875145912,"Protein"
"OID20999","Factor1",0.43231800198555,"Protein"
"OID21304","Factor1",0.28873136639595,"Protein"
"OID20552","Factor1",0.358325719833374,"Protein"
"OID20961","Factor1",0.222278922796249,"Protein"
"OID20197","Factor1",0.320700109004974,"Protein"
"OID21481","Factor1",0.0893995463848114,"Protein"
"OID21431","Factor1",0.28108474612236,"Protein"
"OID20408","Factor1",0.430614739656448,"Protein"
"OID20478","Factor1",0.267885267734528,"Protein"
"OID20782","Factor1",0.406258970499039,"Protein"
"OID20392","Factor1",0.385132730007172,"Protein"
"OID20368","Factor1",0.203170344233513,"Protein"
"OID20425","Factor1",0.221891462802887,"Protein"
"OID20522","Factor1",0.127038240432739,"Protein"
"OID21112","Factor1",0.254594415426254,"Protein"
"OID21522","Factor1",0.310039162635803,"Protein"
"OID20286","Factor1",0.318901032209396,"Protein"
"OID20293","Factor1",0.371554017066956,"Protein"
"OID20966","Factor1",0.399031937122345,"Protein"
"OID20308","Factor1",0.0780665650963783,"Protein"
"OID20743","Factor1",0.110393866896629,"Protein"
"OID21259","Factor1",0.341107219457626,"Protein"
"OID20496","Factor1",0.175221920013428,"Protein"
"OID20839","Factor1",0.116619810461998,"Protein"
"OID21040","Factor1",0.400433927774429,"Protein"
"OID21244","Factor1",0.322651743888855,"Protein"
"OID20641","Factor1",0.26926201581955,"Protein"
"OID20783","Factor1",0.472835749387741,"Protein"
"OID21445","Factor1",0.110146678984165,"Protein"
"OID20955","Factor1",0.381341904401779,"Protein"
"OID21310","Factor1",0.164262816309929,"Protein"
"OID20996","Factor1",0.0512631349265575,"Protein"
"OID20543","Factor1",0.0740354359149933,"Protein"
"OID20669","Factor1",0.14789491891861,"Protein"
"OID20587","Factor1",0.259856641292572,"Protein"
"OID20379","Factor1",0.261203616857529,"Protein"
"OID20217","Factor1",0.208588138222694,"Protein"
"OID20505","Factor1",0.318247318267822,"Protein"
"OID20085","Factor1",0.279044806957245,"Protein"
"OID20973","Factor1",0.209920138120651,"Protein"
