"Gene","Variance"
"ENSG00000242766",3.47741730484245
"ENSG00000243449",3.46926683313794
"ENSG00000136197",3.46913612359672
"ENSG00000186652",3.4649064424588
"ENSG00000225523",3.44681615792667
"ENSG00000181016",3.44257954048623
"ENSG00000140015",3.43985733833118
"ENSG00000254709",3.43694068065892
"ENSG00000230000",3.43506480180542
"ENSG00000118804",3.42951766530606
"ENSG00000271741",3.41622534019694
"ENSG00000211677",3.41615860029227
"ENSG00000225345",3.41485123310197
"ENSG00000184792",3.41263483909022
"ENSG00000184292",3.41196574014491
"ENSG00000173801",3.40900465804503
"ENSG00000188223",3.40685955288663
"ENSG00000279519",3.40434241405365
"ENSG00000265531",3.39455937161019
"ENSG00000233077",3.39389515727372
"ENSG00000183793",3.39026962804905
"ENSG00000227827",3.39002675285756
"ENSG00000118520",3.38859104931036
"ENSG00000102466",3.38733308031893
"ENSG00000211665",3.38456514684265
"ENSG00000257315",3.3841151597603
"ENSG00000288542",3.3829435907659
"ENSG00000160973",3.37943554011408
"ENSG00000237294",3.37524983405237
"ENSG00000228198",3.36942679745357
"ENSG00000133063",3.36603900844651
"ENSG00000222047",3.36322066335599
"ENSG00000179862",3.3587997922014
"ENSG00000204792",3.35831549140073
"ENSG00000198178",3.35600928382602
"ENSG00000263020",3.35435769253963
"ENSG00000280153",3.35400956961504
"ENSG00000165300",3.34683733385458
"ENSG00000276070",3.34547715576535
"ENSG00000179593",3.34406026255401
"ENSG00000284671",3.34311362849312
"ENSG00000172236",3.34308944197809
"ENSG00000214872",3.34234702222528
"ENSG00000274600",3.3389937913402
"ENSG00000273643",3.33898073966161
"ENSG00000110203",3.33887502963067
"ENSG00000258916",3.33872076336041
"ENSG00000176083",3.33864284600541
"ENSG00000145681",3.33708484832823
"ENSG00000262533",3.33534529986296
"ENSG00000170486",3.33433882355451
"ENSG00000287458",3.33336691818746
"ENSG00000211890",3.3280476502056
"ENSG00000258377",3.32658861550224
"ENSG00000146859",3.32579217248748
"ENSG00000197646",3.32405265783337
"ENSG00000286905",3.32389994411414
"ENSG00000277511",3.32387615649745
"ENSG00000224041",3.32021930596145
"ENSG00000198502",3.31778756992787
"ENSG00000255221",3.31747332745068
"ENSG00000196526",3.30927205940106
"ENSG00000255641",3.30911677204325
"ENSG00000121236",3.30526254199909
"ENSG00000229314",3.30273808777186
"ENSG00000267607",3.30191237661463
"ENSG00000214940",3.29907174861674
"ENSG00000224931",3.29264034410418
"ENSG00000168916",3.29140157172273
"ENSG00000196240",3.29129254233816
"ENSG00000176868",3.29120650416331
"ENSG00000087116",3.29048470880752
"ENSG00000205809",3.28947788173576
"ENSG00000260943",3.28454845313346
"ENSG00000168631",3.28342298666729
"ENSG00000257524",3.28246413695339
"ENSG00000267007",3.27785433926583
"ENSG00000167768",3.27694466309683
"ENSG00000073737",3.27685349499438
"ENSG00000233975",3.27373391654142
"ENSG00000161835",3.27343371760065
"ENSG00000262539",3.27330480073696
"ENSG00000259112",3.27246566058259
