Factor,GO_ID,P_value,FDR
Factor12,GO:0060078,0.363339945067937,0.574311526075126
Factor12,GO:0002376,0.40158270247127,0.619077802499332
Factor12,GO:0006813,0.416929948621999,0.619077802499332
Factor12,GO:0010629,0.411781383071494,0.619077802499332
Factor12,GO:0030182,0.404926506771666,0.619077802499332
Factor12,GO:0007565,0.425354688921542,0.622160589765837
Factor12,GO:0006955,0.464507573282609,0.669437385024936
Factor12,GO:0045071,0.480393501860091,0.682298017134622
Factor12,GO:0007267,0.544374249780177,0.762123949692247
Factor12,GO:0007155,0.564761174085122,0.77952950789214
Factor12,GO:0007189,0.572801751744864,0.779646828763843
Factor12,GO:0006508,0.636510025580505,0.7997177244473
Factor12,GO:0006629,0.634256678082608,0.7997177244473
Factor12,GO:0006869,0.602827385066052,0.7997177244473
Factor12,GO:0006874,0.624376405784614,0.7997177244473
Factor12,GO:0008284,0.622775895793217,0.7997177244473
Factor12,GO:0016055,0.625821286691297,0.7997177244473
Factor12,GO:0006811,0.670906902067682,0.832264258261175
Factor12,GO:0001525,0.703968949216927,0.858621115293176
Factor12,GO:0006325,0.727932857597612,0.858621115293176
Factor12,GO:0050821,0.729467289886237,0.858621115293176
Factor12,GO:0051607,0.73596095596558,0.858621115293176
Factor12,GO:0055085,0.71992476353143,0.858621115293176
Factor12,GO:0007160,0.746841324063633,0.861064114802777
Factor12,GO:0071345,0.771576499889927,0.87923833708387
Factor12,GO:0010468,0.786941113242338,0.886439414916657
Factor12,GO:0006631,0.804689657034246,0.89613166351541
Factor12,GO:0006915,0.818373949007855,0.901130865199661
Factor12,GO:0007156,0.828219970103209,0.901619848024214
Factor12,GO:0043123,0.837919788874593,0.901619848024214
Factor12,GO:0070374,0.846418632839058,0.901619848024214
Factor12,GO:0008285,0.860835959067684,0.907117462243366
Factor12,GO:0019722,0.874729422033979,0.911951950631169
Factor12,GO:0005975,0.901351428434741,0.924899164260326
Factor12,GO:0090090,0.906023671112156,0.924899164260326
Factor12,GO:0098609,0.952300499273567,0.962118030193913
Factor12,GO:0035556,0.99444804128997,0.99444804128997
Factor13,GO:0006954,7.3969159587918e-11,7.24897763961596e-09
Factor13,GO:0006631,1.64146315714641e-08,5.36211298001162e-07
Factor13,GO:0019221,1.4923309187703e-08,5.36211298001162e-07
Factor13,GO:0008285,3.49220101912214e-08,6.84471399747939e-07
Factor13,GO:0071345,3.26045805826106e-08,6.84471399747939e-07
Factor13,GO:0006629,7.49753036732039e-07,1.22459662666233e-05
