"pathway","pval","padj","log2err","ES","NES","size"
"REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI",0.0565254387229125,0.276346589312017,0.321775918075361,-0.525291814648945,-1.45481949397972,15
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",0.0597539543057996,0.28577978146252,0.245041785430996,0.542178064216585,1.46486736370145,17
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.0671378091872792,0.314262085557477,0.231126709673834,0.573457566386524,1.45154500602741,13
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",0.0688524590163934,0.315573770491803,0.219250346703755,0.40358557341473,1.34504947512069,42
"REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS",0.0706521739130435,0.317213842058563,0.227987202850442,0.618266194635916,1.45050938751558,10
"REACTOME_CO_INHIBITION_BY_PD_1",0.0766488413547237,0.321637426900585,0.216542836735348,0.59468209460133,1.43153882363698,11
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA",0.0784313725490196,0.321637426900585,0.213927855492356,0.592876053082273,1.42719125949287,11
"REACTOME_ELASTIC_FIBRE_FORMATION",0.073394495412844,0.321637426900585,0.252961123069611,-0.541808604246827,-1.43717712736933,13
"REACTOME_SARS_COV_INFECTIONS",0.0780487804878049,0.321637426900585,0.204294756516886,0.394671987665144,1.3346419391934,44
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",0.0789473684210526,0.321637426900585,0.204294756516886,0.4331050672012,1.35701141311559,31
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.0858585858585859,0.337301587301587,0.245041785430996,-0.379858361874593,-1.33646923567947,37
"REACTOME_DNA_REPAIR",0.0855614973262032,0.337301587301587,0.204294756516886,0.58445096044673,1.40691009194132,11
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",0.0878378378378378,0.339023233760076,0.195789002148949,0.46216907909939,1.35765293990455,23
"REACTOME_SEMAPHORIN_INTERACTIONS",0.0944700460829493,0.358334657556015,0.222056046145248,-0.542929460710726,-1.39601969658827,12
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2",0.0996376811594203,0.371530336526652,0.190023305279108,0.596378865471627,1.39915969915175,10
"REACTOME_COLLAGEN_DEGRADATION",0.105633802816901,0.372486772486773,0.211400189384923,-0.455897701747088,-1.33657395886239,18
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",0.106666666666667,0.372486772486773,0.175204047558551,0.427626041539817,1.30967891831493,28
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS",0.101604278074866,0.372486772486773,0.231126709673834,-0.334014438591033,-1.26729173663519,51
"REACTOME_SYNDECAN_INTERACTIONS",0.106666666666667,0.372486772486773,0.204294756516886,-0.561523054185912,-1.39448883132008,10
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",0.109756097560976,0.377286585365854,0.211400189384923,-0.414755674426015,-1.31680704109444,24
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",0.11371237458194,0.384872652431181,0.169570644405628,0.418439999500483,1.31141024382655,32
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",0.121376811594203,0.404589371980676,0.170932335370056,0.586104211442579,1.37505441529196,10
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",0.123355263157895,0.405047132757266,0.160801401070022,0.416530194895099,1.28545783236324,29
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",0.135472370766488,0.408272898200376,0.159646701919906,0.546502813355921,1.31556003055769,11
"REACTOME_CS_DS_DEGRADATION",0.135472370766488,0.408272898200376,0.159646701919906,0.546502813355921,1.31556003055769,11
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",0.132042253521127,0.408272898200376,0.160801401070022,0.544519923331881,1.34190198517699,12
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",0.135321100917431,0.408272898200376,0.183023938384487,-0.497828546549564,-1.32051760500764,13
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",0.133451957295374,0.408272898200376,0.160801401070022,0.515997321192614,1.32587027740586,14
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES",0.128975265017668,0.408272898200376,0.163180127180689,0.520557293351127,1.31764298494873,13
"REACTOME_SARS_COV_2_INFECTION",0.140961857379768,0.419075792210121,0.150169802128406,0.415593597382169,1.26559899013418,27
"REACTOME_NCAM1_INTERACTIONS",0.145161290322581,0.425806451612903,0.176694268938498,-0.508521775707508,-1.30754815570777,12
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",0.149732620320856,0.43343653250774,0.151148761385484,0.542662609457111,1.30631576202878,11
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",0.153846153846154,0.437894171847743,0.142056643575821,0.389781090963803,1.25848117226141,35
"REACTOME_OTHER_INTERLEUKIN_SIGNALING",0.157243816254417,0.437894171847743,0.14641623786055,0.509199484045265,1.28889391554292,13
"REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY",0.157167530224525,0.437894171847743,0.144630528034484,0.480014461428338,1.29142000653481,16
"REACTOME_GPCR_LIGAND_BINDING",0.163232963549921,0.448890649762282,0.135002033828631,0.342825967220088,1.22004923356092,58
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE",0.169340463458111,0.459937061244251,0.141225119642531,0.531291545606468,1.27894295306744,11
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",0.172077922077922,0.461672473867596,0.132846300606183,0.35788993078376,1.21528326563447,45
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS",0.188636363636364,0.5,0.152144922367565,-0.449103165243199,-1.22114198533072,14
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",0.217494089834515,0.549886621315193,0.143758989039275,-0.426844829939266,-1.19293585231991,16
"REACTOME_KERATINIZATION",0.217494089834515,0.549886621315193,0.143758989039275,-0.426844829939266,-1.19293585231991,16
"REACTOME_MAPK1_MAPK3_SIGNALING",0.213333333333333,0.549886621315193,0.155241966228839,-0.294186099903668,-1.12252171537416,53
"REACTOME_SIGNALING_BY_VEGF",0.213942307692308,0.549886621315193,0.14641623786055,-0.390313240297545,-1.21693641716869,22
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0.219954648526077,0.549886621315193,0.139599673451922,-0.489880059736872,-1.23269493288255,11
