"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20142",3.57345469892565,"DPP7","Q9UHL4",0.14,1.8899,"CARDIOMETABOLIC",1,"29952"
"OID20236",-2.76926918230585,"IGFBP7","Q16270",0.03,-0.1218,"CARDIOMETABOLIC",1,"3490"
"OID20137",2.68700784703034,"ACY1","Q03154",0.04,0.6735,"CARDIOMETABOLIC",1,"95"
"OID20124",-0.425726775048835,"ACOX1","Q15067",0.98,0.9035,"CARDIOMETABOLIC",1,"51"
"OID20242",0.328824792256005,"EPHB4","P54760",0.03,0.2378,"CARDIOMETABOLIC",1,"2050"
"OID20103",-3.12825817703142,"S100P","P25815",0.36,1.4024,"CARDIOMETABOLIC",1,"6286"
"OID20116",-8.54816528475069,"BOC","Q9BWV1",0.04,0.2996,"CARDIOMETABOLIC",1,"91653"
"OID20274",5.80710659681035,"PLA2G2A","P14555",0.51,3.5741,"CARDIOMETABOLIC",1,"5320"
"OID20272",3.40465513196764,"TNFSF13B","Q9Y275",0.03,-0.6438,"CARDIOMETABOLIC",1,"10673"
"OID20201",-0.0239110243512124,"REN","P00797",0.04,-0.102,"CARDIOMETABOLIC",1,"5972"
"OID20117",2.94288686505248,"ADH4","P08319",0.09,0.5253,"CARDIOMETABOLIC",1,"127"
"OID20093",-0.863284874294597,"DNAJB8","Q8NHS0",0.87,0.5276,"CARDIOMETABOLIC",1,"165721"
"OID20376",-5.93499899227497,"ITGB1","P05556",0.03,-0.0493,"CARDIOMETABOLIC",1,"3688"
"OID20369",0.946512875596184,"TFRC","P02786",0.05,0.9647,"CARDIOMETABOLIC",1,"7037"
"OID20079",-2.32244525141289,"ACTA2","P62736",0.6,0.2262,"CARDIOMETABOLIC",1,"59"
"OID20090",0.932628242420907,"GP2","P55259",0.05,1.2077,"CARDIOMETABOLIC",1,"2813"
"OID20297",-1.99801396039536,"SCARF1","Q14162",0.03,-0.3152,"CARDIOMETABOLIC",1,"8578"
"OID20308",-0.979063965912867,"BPIFB1","Q8TDL5",0.06,3.8449,"CARDIOMETABOLIC",1,"92747"
"OID20128",-0.50125405203709,"LEPR","P48357",0.05,-0.338,"CARDIOMETABOLIC",1,"3953"
"OID20255",-5.68805838278587,"TGFBR3","Q03167",0.03,-0.5521,"CARDIOMETABOLIC",1,"7049"
"OID20332",-2.57809375939767,"COL18A1","P39060",0.03,-0.4108,"CARDIOMETABOLIC",1,"80781"
"OID20249",0.00293993795950745,"ADAMTS13","Q76LX8",0.03,-0.2693,"CARDIOMETABOLIC",1,"11093"
"OID20073",1.85881595115252,"RCOR1","Q9UKL0",0.44,0.4736,"CARDIOMETABOLIC",1,"23186"
"OID20130",2.5033087827091,"S100A11","P31949",0.07,0.648,"CARDIOMETABOLIC",1,"6282"
"OID20076",-1.53641134421305,"FABP6","P51161",0.44,0.8256,"CARDIOMETABOLIC",1,"2172"
"OID20394",-0.188856471464593,"ADA2","Q9NZK5",0.03,0.5944,"CARDIOMETABOLIC",1,"51816"
"OID20185",-2.06268596972953,"LRP11","Q86VZ4",0.03,0.3375,"CARDIOMETABOLIC",1,"84918"
"OID20399",-0.207383473954287,"CHI3L1","P36222",0.21,2.3626,"CARDIOMETABOLIC",1,"1116"
"OID20248",2.3432086324185,"ICAM2","P13598",0.03,-0.2621,"CARDIOMETABOLIC",1,"3384"
"OID20192",0.0829010893626475,"GRAP2","O75791",0.23,1.0229,"CARDIOMETABOLIC",1,"9402"
"OID20111",-1.83337689462672,"BMP6","P22004",0.03,1.0334,"CARDIOMETABOLIC",1,"654"
"OID20158",-2.25966340156995,"IL19","Q9UHD0",0.08,0.7869,"CARDIOMETABOLIC",1,"29949"
"OID20088",1.92481008482339,"PON2","Q15165",0.47,-0.01,"CARDIOMETABOLIC",1,"5445"
"OID20105",-0.264106937719792,"ACE2","Q9BYF1",0.14,0.7389,"CARDIOMETABOLIC",1,"59272"
"OID20303",0.126992246057895,"TIE1","P35590",0.03,0.15,"CARDIOMETABOLIC",1,"7075"
"OID20294",1.26385068582036,"CSTB","P04080",0.04,1.1225,"CARDIOMETABOLIC",1,"1476"
"OID20221",1.16851457100052,"SPON2","Q9BUD6",0.03,0.6142,"CARDIOMETABOLIC",1,"10417"
"OID20155",-3.06009452328108,"IGFBPL1","Q8WX77",0.04,0.2847,"CARDIOMETABOLIC",1,"347252"
"OID20251",0.690730657476013,"GDF15","Q99988",0.04,0.0985,"CARDIOMETABOLIC",1,"9518"
"OID20336",4.50017667543558,"BLMH","Q13867",0.03,0.1481,"CARDIOMETABOLIC",1,"642"
"OID20173",-6.79739989669688,"GPNMB","Q14956",0.16,2.7923,"CARDIOMETABOLIC",1,"10457"
"OID20207",-0.0347107056709948,"CXCL5","P42830",0.06,1.9677,"CARDIOMETABOLIC",1,"6374"
"OID20334",-6.19175381811664,"CCL16","O15467",0.03,0.1608,"CARDIOMETABOLIC",1,"6360"
"OID20415",-1.52319595942659,"REG1A","P05451",0.03,0.7001,"CARDIOMETABOLIC",1,"5967"
"OID20178",12.4713399308417,"NADK","O95544",0.04,0.3225,"CARDIOMETABOLIC",1,"65220"
