"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant","Assay","UniProt","Panel","ENTREZID"
"OID20368",-0.891506326187471,3.35617806788512,-7.64953913682972,1.6313803124428e-13,3.37861227026196e-12,19.9396680611187,"Down",TRUE,"THBS4","P35443","CARDIOMETABOLIC","7060"
"OID21416",-0.439597562000838,1.15414934725849,-7.59881747905576,2.29219144496947e-13,4.67934510694482e-12,19.6062454099253,"Down",FALSE,"ITGAV","P06756","ONCOLOGY","3685"
"OID20376",-0.371903451029843,2.23571488250653,-7.58571385299735,2.50198933330867e-13,5.03569402436351e-12,19.5203919322788,"Down",FALSE,"ITGB1","P05556","CARDIOMETABOLIC","3688"
"OID21054",-0.536460874316938,3.00352558746736,-7.53473791407719,3.52075185854844e-13,6.98771445259128e-12,19.1856680397191,"Down",TRUE,"CPM","P14384","NEUROLOGY","1368"
"OID20299",-1.11322515762925,2.84009295039164,-7.51617467769149,3.99116756310303e-13,7.81284718859483e-12,19.0628688674745,"Down",TRUE,"CCN3","P48745","CARDIOMETABOLIC","4856"
"OID20933",-0.584145649432532,2.4351725848564,-7.50999125463663,4.15494067238747e-13,8.02352732546175e-12,19.0234177029815,"Down",TRUE,"GFRA3","O60609","NEUROLOGY","2676"
"OID21298",-0.594932955023117,1.42549242819843,-7.50729063486826,4.23458009670225e-13,8.0682866109167e-12,19.0048669203237,"Down",TRUE,"CD207","Q9UJ71","ONCOLOGY","50489"
"OID20916",-1.46401436738125,2.07014255874674,-7.39324031827548,9.01447458992971e-13,1.69495844592231e-11,18.2648045391297,"Down",TRUE,"PSG1","P11464","NEUROLOGY","5669"
"OID20390",-0.394013236654055,1.87983864229765,-7.3640005146002,1.09080091402348e-12,2.02435650147995e-11,18.0780136008485,"Down",FALSE,"NRP1","O14786","CARDIOMETABOLIC","8829"
"OID20355",0.753307129045816,4.81667415143603,7.33724449162695,1.30233857494971e-12,2.38595105590146e-11,17.9045614978682,"Up",TRUE,"LBP","P18428","CARDIOMETABOLIC","3929"
"OID20345",-0.352395859604874,1.98468041775457,-7.29840484161876,1.6761848986064e-12,3.03198508874499e-11,17.6574279165688,"Down",FALSE,"VASN","Q6EMK4","CARDIOMETABOLIC","114990"
"OID20787",-1.25127873055905,5.11179190600522,-7.28439623932933,1.83959365910107e-12,3.28597417356928e-11,17.5664619237488,"Down",TRUE,"TFF2","Q03403","INFLAMMATION","7032"
"OID20383",-0.951518163093732,3.73900078328982,-7.27498579969711,1.95591110923153e-12,3.41318570394882e-11,17.5064518738487,"Down",TRUE,"HSPG2","P98160","CARDIOMETABOLIC","3339"
"OID20275",-0.750023883984863,0.338053263707572,-7.27477632688775,1.95858101976069e-12,3.41318570394882e-11,17.5051167408887,"Down",TRUE,"MSMB","P08118","CARDIOMETABOLIC","4477"
