"ID","Description","NES","p.adjust","EntrezID","UniProt","Protein","t"
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7301","Q06418","OID20161",-5.36907092015606
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10752","O00533","OID20366",-5.28481246825281
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3897","P32004","OID21484",-5.27690758239557
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8639","Q16853","OID20389",-5.17004060374388
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"2022","P17813","OID20287",-5.16300733039203
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"5133","Q15116","OID21396",-5.13039997705631
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4685","O15394","OID21095",-5.01836649067545
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3491","O00622","OID21368",-4.96101855035174
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"2041","P21709","OID20677",-4.9271278476225
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1829","Q14126","OID21113",-4.89344350051089
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3960","P56470","OID20748",-4.88884514246413
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"999","P12830","OID20353",-4.83870788885727
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"80781","P39060","OID20332",-4.8383142897742
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7499","P55808","OID20259",-4.83466043626685
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"347902","Q86SJ2","OID21370",-4.82790107978317
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"214","Q13740","OID20273",-4.79428882232677
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7048","P37173","OID21493",-4.75556822418844
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6366","O00585","OID20686",-4.74929320566612
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"921","P06127","OID21449",-4.74751033220078
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"30835","Q9NNX6","OID20262",-4.7217177981271
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6441","P35247","OID20214",-4.69259693565883
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3694","P18564","OID20493",-4.68484848519217
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"90952","Q96AP7","OID20270",-4.63717398754972
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3490","Q16270","OID20236",-4.60472155556648
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"83692","Q8TCZ2","OID21122",-4.59845683766281
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1015","Q12864","OID20134",-4.5781026129001
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3815","P10721","OID20370",-4.57472325313938
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"81607","Q96NY8","OID21490",-4.53703201351686
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1088","P31997","OID20102",-4.52744445473649
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"285704","Q6NW40","OID21045",-4.49733054526556
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6091","Q9Y6N7","OID20734",-4.4175996724262
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3910","Q16363","OID20769",-4.40494973643515
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"80381","Q5ZPR3","OID20680",-4.37786653560281
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1604","P08174","OID20377",-4.35204220152651
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"947","P28906","OID21025",-4.31968766261698
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"53942","O94779","OID21006",-4.28764482386469
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7058","P35442","OID21104",-4.2873481361052
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"945","P20138","OID21472",-4.27258746352347
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10653","O43291","OID20720",-4.25153684429497
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3678","P08648","OID21139",-4.24486826823183
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"682","P35613","OID20626",-4.24376731072008
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"51330","Q9NP84","OID21482",-4.23048852995828
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10669","Q99674","OID20152",-4.20125586229254
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3689","P05107","OID20315",-4.14304051009773
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8840","O95388","OID21444",-4.12455517582469
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"56477","Q9NRJ3","OID20569",-4.10347341669241
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"151887","Q76M96","OID20226",-4.0803833167319
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4852","P01303","OID21388",-3.96221657668416
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7070","P04216","OID21050",-3.94642091055303
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8578","Q14162","OID20297",-3.91668341470393
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"940","P10747","OID21265",-3.90035103866158
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8764","Q92956","OID20783",-3.89245965518582
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4254","P21583","OID20196",-3.84285636064276
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1013","P55291","OID21005",-3.8395198325998
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6422","Q8N474","OID20984",-3.82955340118134
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"5797","P28827","OID20598",-3.8020800339255
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1969","P29317","OID21342",-3.7754203052328
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4072","P16422","OID20743",-3.7070190616462
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"780","Q08345","OID21009",-3.69909337803067
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"26047","Q9UHC6","OID20556",-3.66571412704432
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1041","Q15517","OID20667",-3.63869884804306
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6900","Q02246","OID21426",-3.57224256361149
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"27329","Q9Y5C1","OID20407",-3.48246218760067
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4345","P41217","OID20603",-3.45519929007419
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1942","P20827","OID21125",-3.40853319557729
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8581","Q14210","OID20708",-3.38277606520273
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"147409","Q86SJ6","OID21325",-3.35852069910564
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10272","O95633","OID20782",-3.30374993759063
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3693","P18084","OID21522",-3.22816765327682
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3373","Q12794","OID20357",-3.21319813430487
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"654","P22004","OID20111",-3.1985810895569
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"5068","Q06141","OID20258",-3.09547899243602
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1490","P29279","OID20709",-3.07801757657505
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6403","P16109","OID20379",-3.06967250420713
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3572","P40189","OID20147",-3.03697414663037
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"2056","P01588","OID20522",-2.97145777086488
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"51206","Q9HCN6","OID21091",-2.9416762218453
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10232","Q13421","OID21380",-2.9232480957923
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"5175","P16284","OID21131",-2.92154651445503
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"91653","Q9BWV1","OID20116",-10.8593968856439
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"1311","P49747","OID20405",-10.5504681525752
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"1004","P55285","OID20157",-8.89234806438759
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"22918","Q9NPY3","OID20397",-8.8629087059826
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"8076","Q13361","OID20239",-8.75438977070456
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"23768","O43155","OID20946",-8.69786012907057
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"652","P12644","OID20994",-8.52335376779355
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"6369","O00175","OID20772",-8.2607624901256
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"4162","P43121","OID20343",-8.25769875245774
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"10457","Q14956","OID20173",-8.2127605660059
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"7049","Q03167","OID20255",-8.19065443371906
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"152330","Q8IWV2","OID21117",-8.0808427316484
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"4321","P39900","OID21439",-7.96302931737763
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"11202","O60259","OID21517",-7.78625020020305
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"5802","Q13332","OID20306",-7.72487790462016
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"7060","P35443","OID20368",-7.64953913682972
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"3685","P06756","OID21416",-7.59881747905576
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"3688","P05556","OID20376",-7.58571385299735
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"1368","P14384","OID21054",-7.53473791407719
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"4856","P48745","OID20299",-7.51617467769149
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"2676","O60609","OID20933",-7.50999125463663
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"8829","O14786","OID20390",-7.3640005146002
"GO:0009653","anatomical structure morphogenesis",-1.84802278744999,4.65331327853869e-06,"3339","P98160","OID20383",-7.27498579969711
