"PC","Variance_Explained"
"PC619",0.00516952885955168
"PC620",0.00513911116780836
"PC621",0.00508492721465196
"PC622",0.00506897560661469
"PC623",0.00498569696987452
"PC624",0.00497538839419577
"PC625",0.00496592621062188
"PC626",0.0049237164696051
"PC627",0.00487764792307659
"PC628",0.00484127799836872
"PC629",0.00479213532620861
"PC630",0.00476302359826784
"PC631",0.00470603643885686
"PC632",0.00469113612259195
"PC633",0.00464771427605963
"PC634",0.00463049156690194
"PC635",0.00461079837323561
"PC636",0.00454518181579584
"PC637",0.0045144862258881
"PC638",0.00449712347814424
"PC639",0.00442523877866117
"PC640",0.00440687164239217
"PC641",0.00437559060688227
"PC642",0.00435211974557064
"PC643",0.0043101195966871
"PC644",0.00430082044493121
"PC645",0.00423661730021543
"PC646",0.00420514856001512
"PC647",0.00418024616744486
"PC648",0.00414275905179392
"PC649",0.00411208707956895
"PC650",0.00408381936799093
"PC651",0.00405648655951818
"PC652",0.00397976158114233
"PC653",0.00397602997302751
"PC654",0.00396109096442479
"PC655",0.00393473102959335
"PC656",0.00388759933985921
"PC657",0.00384086772529627
"PC658",0.00381306162514298
"PC659",0.00379917900103105
"PC660",0.00378213776776689
"PC661",0.00374254265440682
"PC662",0.0037222023670706
"PC663",0.00366506143463224
"PC664",0.00364954325221114
"PC665",0.0036180174180972
"PC666",0.00358992129115138
"PC667",0.00358171040905697
"PC668",0.00354160950215984
"PC669",0.00353487576261724
"PC670",0.00349960252969665
"PC671",0.00345382533852398
"PC672",0.00342284823920526
"PC673",0.00342037380240879
"PC674",0.00340415964659082
"PC675",0.00336053651790588
"PC676",0.00332578870550003
"PC677",0.00330233481254153
"PC678",0.00326300896638256
"PC679",0.00322881460370219
"PC680",0.00319579672258942
"PC681",0.00316605016101516
"PC682",0.00314795961466253
"PC683",0.00308879114218049
"PC684",0.00306877503835012
"PC685",0.00304312778166587
"PC686",0.00302190292959835
"PC687",0.00299325320571949
"PC688",0.00298402228956799
"PC689",0.0029518361576508
"PC690",0.00291702866069483
"PC691",0.00291336359896507
"PC692",0.00286724285241177
"PC693",0.00284622354084541
"PC694",0.00281133559047951
"PC695",0.00279297314933299
"PC696",0.00277830194297375
"PC697",0.00276502498717444
"PC698",0.0026988377144003
"PC699",0.00268062453561544
"PC700",0.002660502838217
"PC701",0.00264428823838632
"PC702",0.00263264076172118
"PC703",0.00260855281198823
"PC704",0.00258634178029567
"PC705",0.00255247412323776
"PC706",0.00252895882940529
"PC707",0.00251759321103211
"PC708",0.00249897462051744
"PC709",0.00248576965322728
"PC710",0.00242217204403099
"PC711",0.00238944456101487
"PC712",0.00237743110177404
"PC713",0.00235380767235515
"PC714",0.00234216178871175
"PC715",0.00231266831167289
"PC716",0.00229386779521394
"PC717",0.0022841470171798
"PC718",0.00225469031719808
"PC719",0.0021979404259161
"PC720",0.00219590562193784
"PC721",0.00217352952470467
"PC722",0.00214711675192143
"PC723",0.0021069569037347
"PC724",0.00210350930961297
"PC725",0.00206427601902645
"PC726",0.00204122642193172
"PC727",0.00200968581229607
"PC728",0.00200714523842807
"PC729",0.00197178034186005
"PC730",0.00195669319258281
"PC731",0.00193428031299436
"PC732",0.00189388973596456
"PC733",0.00187511672725256
"PC734",0.00185954280083033
