"PC","Variance_Explained_Percent"
321,0.00618338316027949
322,0.00612950806151873
323,0.00608760840048882
324,0.00600466458056545
325,0.00593852749275413
326,0.00583761053585649
327,0.00582066536719283
328,0.00574697044633675
329,0.0056958053369113
330,0.00565266630872923
331,0.00551149889104746
332,0.00546898042407312
333,0.00539178748478482
334,0.00535431163683769
335,0.00533618688932394
336,0.00527540268287906
337,0.00521090760645594
338,0.00510456950869148
339,0.00505275790463139
340,0.00503693010051926
341,0.0049446224148227
342,0.00486435158742883
343,0.00481759709469686
344,0.00477863835170366
345,0.00474202494878314
346,0.00472646736866962
347,0.00462084035171018
348,0.00454423055412044
349,0.00448262767689342
350,0.0043796185402443
351,0.00435747188427999
352,0.00428874452300913
353,0.00426421347130009
354,0.00421786027957175
355,0.00408441896040208
356,0.0040761021590359
357,0.00406117317734002
358,0.00397904804776481
359,0.00391933158589929
360,0.00387583149610526
361,0.00384917861942015
362,0.00383225244967077
363,0.00377251201183568
364,0.00373246002456698
365,0.00365088809622533
366,0.0036373455237757
367,0.00361950768417704
368,0.00355548545986419
369,0.00349662529606016
370,0.00344248070707052
371,0.00341717868290737
372,0.00335899102808455
373,0.00331745163342869
374,0.00329299995647943
375,0.00321359803008164
376,0.00320127744794537
377,0.00314953098781337
378,0.00310737587743334
379,0.00305272918803884
380,0.00303120443386104
381,0.00296589347547715
382,0.00293489178671411
383,0.00287123633159985
384,0.00282884827498603
385,0.00281790394183583
386,0.0027598199567121
387,0.00271104651884654
388,0.00269416958259388
389,0.00261180412405518
390,0.0026073668823829
391,0.00257223292204511
392,0.00253845707732487
393,0.00250389091370672
394,0.00246730648222325
395,0.00244210729118125
396,0.00239822221420409
397,0.00236048730611982
398,0.00232999624876971
399,0.00229049730463999
400,0.00227861185789767
401,0.00222781456576585
402,0.00218793824906195
403,0.00217041107142704
404,0.00213380370801867
405,0.00210512762883157
406,0.00206933220172258
407,0.00203733439236487
408,0.00203127718594008
409,0.0019922272761444
410,0.00196864492317482
411,0.00196643403139162
412,0.00188619289156722
413,0.00187676912639746
414,0.00186893070922028
415,0.00183369282882715
416,0.00181276425098791
417,0.00178576986641474
418,0.00172196135771142
419,0.00171474146365478
420,0.00167788494648233
421,0.00167172460356608
422,0.00161249443924584
423,0.00158340660705542
424,0.00156992211195079
425,0.00155397112977929
426,0.00154387590785286
427,0.00152456822950451
428,0.0015056181126299
429,0.00147241075208264
430,0.00145544088510029
431,0.00142853437294992
432,0.00140962228271775
433,0.00137909749650788
434,0.00136906486354285
435,0.0013318138904171
436,0.00132230329965163
437,0.00129620427774686
438,0.0012738296458061
439,0.00124108131427061
440,0.00122557506851378
441,0.00120042218207961
442,0.00117546171556115
443,0.00116213343449279
444,0.00112242317189347
445,0.00110463366371603
446,0.00108591821238553
447,0.00106090753482886
448,0.0010243091655367
449,0.0010226964506996
450,0.00101553071366111
451,0.00100370968050203
452,0.000986499830200377
453,0.000940518487240157
454,0.0009292125228738
455,0.000912926041249732
456,0.000904274887696033
457,0.000857385357727853
458,0.000845972899492758
459,0.000837314860964952
460,0.00080052001798101
461,0.000784055386703351
462,0.000779627404428421
463,0.000763171068851774
464,0.000744608090270907
465,0.000717713129116958
466,0.00069803507938365
467,0.000689378118139094
468,0.000669728000911422
469,0.000654233175413949
470,0.000634431942316155
471,0.000625324626113198
472,0.000609968864526515
473,0.000591647780828309
474,0.000565763942163006
475,0.000554458972785548
476,0.000529942392429426
477,0.000520247287276258
478,0.000511706156802255
479,0.000498260418214197
480,0.000472201331897363
481,0.000466131039727649
482,0.000449560730897672
483,0.000429057002334291
484,0.00040925383779338
485,0.000398339111783513
486,0.000387301818130908
487,0.000379722069654014
488,0.000357662555751122
489,0.000351915001556499
490,0.000328316386215502
491,0.000299858746685193
492,0.000288480820455749
493,0.000286885629730858
494,0.000247491841587939
495,0.000241437190733684
496,0.0001953496377116
497,0.000173361891433878
498,0.00015012428493494
499,0.000125970042558946
500,9.19853707156144e-05
