"Protein","t","UniProt","ENTREZID"
"OID21414",2.31840737920585,"Q14790","841"
"OID21242",2.30179806113797,"Q16772","2940"
"OID20578",2.29702072711688,"Q14773","3386"
"OID21066",2.2829725034006,"O94907","22943"
"OID20884",2.25534649104211,"O95466","752"
"OID20241",2.24156841074276,"P22748","762"
"OID20505",2.23167055829581,"O14867","571"
"OID20073",2.22757526761346,"Q9UKL0","23186"
"OID21324",2.22294270363807,"P37108","6727"
"OID21070",2.2123623668451,"P05067","351"
"OID20367",2.21061399459175,"Q9BXJ1","114897"
"OID20352",2.20416545481969,"Q06033","3699"
"OID20283",2.19984169715224,"O75326","8482"
"OID20701",2.1965114443905,"Q9NZV1","51232"
"OID21334",2.18424747890597,"Q13561","10540"
"OID21312",2.1803360174862,"O75054","3321"
"OID20417",2.16603968989061,"Q15582","7045"
"OID20130",2.14896411372138,"P31949","6282"
"OID20347",2.14528342335265,"Q96KN2","84735"
"OID20289",2.1420089340375,"P15086","1360"
"OID20199",2.11521962899449,"P23526","191"
"OID20831",2.11460325930342,"Q9HAW4","63967"
"OID21403",2.11279177656664,"O43715","51499"
"OID21313",2.11169036042626,"Q9UK85","27120"
"OID21202",2.10979095767866,"Q07960","392"
"OID20510",2.10412521733533,"Q9Y5A7","51667"
"OID20798",2.08249124108446,"P15336","1386"
"OID21046",2.05875526897338,"P09104","2026"
"OID21205",2.03843238142161,"Q05516","7704"
"OID21434",2.03285772269091,"P27695","328"
"OID20758",2.03175933354692,"Q9NQ30","11082"
"OID21019",2.03005829043647,"P22894","4317"
"OID20313",2.01720653835749,"P04085","5154"
"OID21524",2.00578562090879,"P49767","7424"
"OID20486",2.00298935881106,"P42701","3594"
"OID20648",2.00200451731725,"P14317","3059"
"OID21021",1.98341993128688,"O14737","9141"
"OID20301",1.96895975151353,"Q8N423","10288"
"OID20248",1.95274334972252,"P13598","3384"
"OID21394",1.94905468644182,"O43699","946"
"OID20952",1.94146453697298,"P40222","200081"
"OID20174",1.93633665798203,"P09417","5860"
"OID20385",1.93109099666515,"P08887","3570"
"OID20702",1.92308304972892,"O14836","23495"
"OID21127",1.91300871003821,"O43505","11041"
"OID21316",1.90863432582597,"P28907","952"
"OID20311",1.90134094675284,"P46531","4851"
"OID20494",1.87764653631866,"P01591","3512"
"OID20614",1.86561942278368,"Q08174","5097"
"OID20973",1.85617356099372,"O14618","9973"
"OID21431",1.84887682942711,"P40121","822"
"OID21430",1.84303670502027,"P10145","3576"
"OID20249",1.84208742115318,"Q76LX8","11093"
"OID21014",1.83505770790958,"P52823","6781"
"OID21435",1.83448522673581,"Q9H3G5","54504"
"OID21319",1.81081592026135,"P38936","1026"
"OID21340",1.81018304349929,"Q6UWW8","23491"
"OID21350",1.80826006175103,"P07948","4067"
"OID21134",1.80495077099694,"Q08431","4240"
"OID21073",1.79726815897866,"P14174","4282"
"OID21234",1.78363220640868,"P55008","199"
"OID20264",1.77409285011015,"Q9UBP4","27122"
"OID20475",1.77356466230362,"O43597","10253"
