"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20146",0.166833434216055,0.364571162579273,"NS",FALSE,0.283450638579673,0.149140051248791,"NS",FALSE,"NS_Both",TRUE,FALSE,0.116617204363618
"OID20147",-0.179926376628835,0.00667949531707227,"NS",FALSE,-0.130831900257758,0.0900617445692496,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0490944763710767
"OID20148",0.544972559899115,5.53833551676286e-07,"Up",TRUE,0.542803103169097,4.72534646359665e-06,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.00216945673001823
"OID20149",0.428424325346781,0.0139202842183781,"NS",FALSE,0.296592703012694,0.148820384362377,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.131831622334087
"OID20150",0.0600273476250523,0.57799667623986,"NS",FALSE,0.143407680807839,0.170182371885354,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0833803331827863
"OID20151",0.122911080285834,0.35121095586191,"NS",FALSE,0.1911432793201,0.183655929754185,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0682321990342662
"OID20152",-0.487394590163931,0.00012820700570287,"NS",FALSE,-0.209037659356292,0.127100766952155,"NS",FALSE,"NS_Both",TRUE,FALSE,0.278356930807639
"OID20153",0.19507468684321,0.300207660818827,"NS",FALSE,0.257743572652901,0.209650372653103,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0626688858096913
"OID20154",-0.112602349726775,0.351166169328784,"NS",FALSE,0.0101335150473408,0.953303584985751,"NS",FALSE,"NS_Both",TRUE,FALSE,0.122735864774116
"OID20155",-0.466014922236231,4.05983009262074e-06,"NS",FALSE,-0.277292416623752,0.00821405112081601,"NS",FALSE,"NS_Both",TRUE,FALSE,0.188722505612479
"OID20156",0.22065059688945,0.171497298507073,"NS",FALSE,0.349081231186509,0.0401901313634202,"NS",FALSE,"NS_Both",TRUE,FALSE,0.128430634297059
"OID20157",-0.688376267339215,8.59890227080251e-16,"Down",TRUE,-0.615821241452943,5.60784698060964e-12,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0725550258862718
"OID20158",-0.683795922656575,0.000124117391699033,"Down",TRUE,-0.354012515137682,0.0568407422270476,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.329783407518893
"OID20159",-0.0630670365699875,0.507133762525523,"NS",FALSE,0.0124718209855524,0.922608731928599,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0755388575555399
"OID20160",-0.0138233417402275,0.846118359149638,"NS",FALSE,0.0260922666027539,0.747299257210081,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0399156083429814
"OID20161",-0.271305792349725,9.2365176397977e-07,"NS",FALSE,-0.244172055145391,8.41100477710673e-05,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0271337372043344
"OID20162",-0.0728363303909204,0.765324935114963,"NS",FALSE,0.187056932102078,0.454121242760533,"NS",FALSE,"NS_Both",TRUE,FALSE,0.259893262492999
"OID20163",0.0277941151744422,0.813692290506729,"NS",FALSE,-0.0217817691496661,0.885386404540939,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0495758843241083
"OID20164",-0.0670751702395962,0.517905159074246,"NS",FALSE,-0.0428996931664924,0.743869393925505,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0241754770731038
"OID20165",-0.182024291719209,0.140079379387896,"NS",FALSE,0.0341654047410688,0.841088003319222,"NS",FALSE,"NS_Both",TRUE,FALSE,0.216189696460278
"OID20166",0.61200040353089,0.012904995285142,"Up",TRUE,0.549940957443391,0.0514837249353467,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0620594460874998
"OID20167",-0.329968419503992,0.00470620102477677,"NS",FALSE,-0.143429239495631,0.268791968947298,"NS",FALSE,"NS_Both",TRUE,FALSE,0.186539180008361
"OID20168",0.0639930180748217,0.620777043277111,"NS",FALSE,-0.142751026694489,0.264171322618945,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.206744044769311
"OID20169",0.222498108448928,0.23508089539748,"NS",FALSE,0.286500660908641,0.164869974173693,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0640025524597123
"OID20170",0.313219894913829,0.000119735715182776,"NS",FALSE,0.339068441295935,0.000204619303496468,"NS",FALSE,"NS_Both",TRUE,FALSE,0.025848546382106
"OID20171",0.164096578394283,0.199410597898821,"NS",FALSE,0.3346781675322,0.00681378652245131,"NS",FALSE,"NS_Both",TRUE,FALSE,0.170581589137917
"OID20172",0.0637737873055908,0.581051772616164,"NS",FALSE,-0.0863274760490253,0.477015397852896,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.150101263354616
"OID20173",-0.587470840689363,9.07038443991561e-14,"Down",TRUE,-0.517772045623654,1.03485032837362e-09,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0696987950657093
"OID20174",0.222332471626733,0.098626248697382,"NS",FALSE,0.301580069292119,0.0454976524042543,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0792475976653867
"OID20175",-0.901902723833538,4.44580029571753e-06,"Down",TRUE,-0.356750411063706,0.0855216527639759,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.545152312769833
"OID20176",0.0868025935266912,0.470438504482677,"NS",FALSE,0.182007614838379,0.132054624968369,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0952050213116878
"OID20177",-0.155969436738125,0.449542983865719,"NS",FALSE,-0.0106275302761739,0.976556568025488,"NS",FALSE,"NS_Both",TRUE,FALSE,0.145341906461951
"OID20178",2.05326390500209,3.9015371720285e-34,"Up",TRUE,1.96002515966242,1.37576951799449e-27,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0932387453396724
"OID20179",-0.190137679697351,0.252836051983916,"NS",FALSE,0.096705712276937,0.649133770573987,"NS",FALSE,"NS_Both",TRUE,FALSE,0.286843391974288
"OID20180",0.664997540983604,3.83036702611227e-16,"Up",TRUE,0.629738794625988,8.01722149783281e-13,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0352587463576163
"OID20181",0.086359676334594,0.159619887090239,"NS",FALSE,0.132408015034606,0.0442760838258661,"NS",FALSE,"NS_Both",TRUE,FALSE,0.046048338700012
"OID20182",0.143733694829756,0.526222605604187,"NS",FALSE,0.0234261843799074,0.939364160014609,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.120307510449849
"OID20183",-0.0966318537200511,0.435493851257746,"NS",FALSE,-0.051125944837307,0.753902486856794,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0455059088827441
"OID20184",0.112321601513239,0.504572288755092,"NS",FALSE,0.12063865786104,0.552073214703604,"NS",FALSE,"NS_Both",TRUE,FALSE,0.00831705634780133
"OID20185",-0.348529445145017,0.000297275339686516,"NS",FALSE,-0.176182387807103,0.0865198431669954,"NS",FALSE,"NS_Both",TRUE,FALSE,0.172347057337914
"OID20186",-0.0299917654476665,0.773296046707675,"NS",FALSE,0.0562829012458648,0.594770231460206,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0862746666935312
"OID20187",0.66497664144598,0.00121272318376645,"Up",TRUE,0.289512776529728,0.154079248464709,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.375463864916252
"OID20188",-0.472723493064311,4.68402155163606e-05,"NS",FALSE,-0.407966506283221,0.00116876021113988,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0647569867810901
"OID20189",-0.433471946195878,5.74786068348216e-09,"NS",FALSE,-0.418661471064605,4.87588957738593e-07,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0148104751312732
"OID20190",-0.0410015973097936,0.622588974638267,"NS",FALSE,-0.0226177341844741,0.833865788619801,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0183838631253195
"OID20191",-0.139002820512821,0.251410949294435,"NS",FALSE,-0.0926021403098691,0.533653098959443,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0464006802029514
"OID20192",-0.0249166918873489,0.939518283862257,"NS",FALSE,0.0181356129219446,0.966437552920434,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0430523048092934
"OID20193",0.280308797814205,0.000939196446282905,"NS",FALSE,0.17708033483642,0.0729026708779074,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.103228462977784
"OID20194",0.302796132828919,0.00348634392050863,"NS",FALSE,0.298804588323364,0.0121507100053093,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00399154450555528
"OID20195",0.138927007145859,0.412792485108445,"NS",FALSE,0.281253063645139,0.102203319792846,"NS",FALSE,"NS_Both",TRUE,FALSE,0.14232605649928
"OID20196",-0.379201525851197,0.000478135944098838,"NS",FALSE,-0.242803303546697,0.0570580385410819,"NS",FALSE,"NS_Both",TRUE,FALSE,0.1363982223045
"OID20197",-0.204867738545606,0.164619516021247,"NS",FALSE,0.0218470428166935,0.914406256351829,"NS",FALSE,"NS_Both",TRUE,FALSE,0.2267147813623
"OID20198",-0.0516341782261455,0.57799667623986,"NS",FALSE,-0.0279689981198786,0.819391468585676,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0236651801062669
"OID20199",0.188548902900377,0.0674164663154746,"NS",FALSE,0.2280790621661,0.0529299741261878,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0395301592657228
"OID20200",-1.13740756620428,2.07858359465122e-08,"Down",TRUE,-0.735745411232898,0.00123390154651876,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.401662154971384
