"Assay","Missing_N","Missing_Percent","Mean","SD","Median","Min","Max"
"OID20404",0,0,3.98375408163265,0.905019305825521,4.0815,0.5454,6.5174
"OID20267",0,0,5.26409017857143,0.743286555281536,5.16,3.273,7.9704
"OID20282",0,0,6.46170114795918,0.73103431731305,6.3311,4.5758,9.2545
"OID20168",0,0,0.767813392857143,0.704782019079732,0.7589,-1.1709,2.8853
"OID20402",0,0,3.27540242346939,0.494554774403769,3.3123,0.3581,4.8554
"OID20098",0,0,1.56849119897959,0.497712226949223,1.5359,-0.0572,4.5249
"OID20183",0,0,2.85197257653061,0.819238308915596,2.7745,0.8106,6.0462
"OID20329",0,0,3.12801836734694,0.794035137050234,3.1076,0.5396,6.8076
"OID20186",0,0,1.77496683673469,0.628719675505311,1.7021,0.1888,4.2554
"OID20170",0,0,2.38763762755102,0.667632800169414,2.366,0.4738,4.6654
"OID20181",0,0,3.55730051020408,0.445104923070108,3.5076,2.2375,5.1531
"OID20225",0,0,2.00422130102041,1.33594276278338,1.8543,-0.429,7.4031
"OID20333",0,0,1.76805816326531,0.885921374832656,1.7162,-0.9419,6.2023
"OID20315",0,0,4.81037729591837,0.463626865888698,4.7601,3.5178,7.0398
"OID20263",0,0,5.40479910714286,1.85729379022405,4.9543,2.1448,11.5146
"OID20149",0,0,0.340388903061224,1.15786611786,0.0739,-2.2212,4.7682
"OID20243",0,0,1.74131364795918,0.41108155182741,1.6838,0.7233,3.416
"OID20276",0,0,3.11237079081633,0.960574377821461,2.951,1.2544,6.9496
"OID20246",0,0,5.83456683673469,1.94327901033994,5.6999,0.712,11.5073
"OID20198",0,0,2.11481556122449,0.564055126186219,2.1205,0.4918,4.2282
"OID20176",0,0,1.4948881377551,0.788774630746595,1.3974,-0.3403,4.6794
"OID20406",0,0,3.7442193877551,0.460337644039879,3.7401,2.4177,5.5774
"OID20115",0,0,0.672851403061224,0.753859155246852,0.6488,-2.8317,4.9423
"OID20328",0,0,6.80405829081633,0.905510438021936,6.6875,4.8024,10.3069
"OID20313",0,0,2.28674604591837,1.03779879318258,2.2356,0.1325,5.4897
"OID20218",0,0,4.37098928571429,1.83128803779098,4.4014,0.5539,9.2506
"OID20400",0,0,7.1549012755102,1.01910329794176,6.9301,4.8328,11.0079
"OID20165",0,0,2.8350174744898,0.873300788468655,2.6747,0.8667,6.2624
"OID20193",0,0,2.56634234693878,0.5819628646916,2.5449,0.6754,4.5145
"OID20081",0,0,2.43348010204082,0.567278039984156,2.3984,0.9853,4.9362
"OID20311",0,0,5.78507959183673,0.315696604141539,5.7727,4.8038,7.3552
"OID20197",0,0,2.60263724489796,0.974684716468119,2.5082,0.3268,5.7684
"OID20327",0,0,6.57964107142857,1.04764503198802,6.4841,3.5811,10.7888
"OID20288",0,0,1.6815299744898,0.549970923538395,1.6457,0.6364,5.7021
"OID20172",0,0,3.48108227040816,0.661362532516819,3.515,-0.3932,5.7718
"OID20411",0,0,6.39273507653061,0.562744567778067,6.3321,4.8096,8.1671
"OID20390",0,0,2.04516734693878,0.455624881507684,2.0274,0.5873,3.8924
"OID20317",0,0,5.46357602040816,0.527682517229837,5.4189,3.9458,7.388
"OID20174",0,0,3.40979732142857,0.818488883815923,3.2899,1.4757,7.6195
"OID20182",0,0,2.30761900510204,1.39158386884116,2.0542,-0.3791,7.1041
"OID20356",0,0,0.700997448979592,0.261390120635608,0.6758,0.0838,2.2721
"OID20362",0,0,4.59746798469388,0.734843006270832,4.5445,2.3179,7.4367
"OID20264",0,0,4.38189579081633,0.76232064136455,4.3145,2.5034,7.531
"OID20304",0,0,6.29102908163265,0.798129269415999,6.318,4.1255,9.0216
"OID20145",0,0,1.94903239795918,0.66543102335385,1.9211,-0.0526,4.5132
"OID20374",0,0,3.09746772959184,0.6759719274567,3.1441,-0.5456,6.9678
"OID20363",0,0,2.92365854591837,0.550213165126802,2.852,1.6699,5.812
"OID20384",0,0,4.69452908163265,0.831389857032594,4.6289,2.7081,9.8279
"OID20086",0,0,3.46967295918367,1.26157713544103,3.3274,0.6145,8.2002
"OID20177",0,0,4.46828303571429,1.23531521459832,4.3914,1.3314,8.4753
"OID20089",0,0,0.402241581632653,0.379257078075066,0.3503,-0.3354,3.2247
"OID20146",0,0,3.35162602040816,1.21750881430519,3.3712,0.2473,7.7185
"OID20298",0,0,3.5007737244898,1.08461668544856,3.4602,-1.0874,8.7574
"OID20074",0,0,1.65184119897959,0.571314496530091,1.5672,0.336,5.7025
"OID20378",0,0,7.26766466836735,0.941945254251427,7.2355,4.3331,10.2559
"OID20339",0,0,4.22647257653061,0.953845200672505,3.9495,2.7157,8.6111
"OID20229",0,0,4.2106049744898,0.684237774792413,4.0967,2.4753,8.1361
"OID20398",0,0,4.10953903061225,0.932042870388603,4.2322,0.666,7.0404
"OID20223",0,0,2.46308673469388,0.9280635954464,2.3437,0.0588,5.6356
"OID20108",0,0,3.68798596938776,0.89399086526919,3.5863,1.5356,7.1257
"OID20354",0,0,1.50313571428571,0.379277351079847,1.4995,0.5561,3.3121
"OID20391",0,0,4.63715140306122,0.75250329927906,4.6578,1.0093,7.749
"OID20110",0,0,1.78720982142857,1.26702940263626,1.6076,-1.2752,7.1967
"OID20114",0,0,4.3648193877551,0.790534614493102,4.2813,0.0682,7.0331
"OID20418",0,0,6.79162704081633,0.838873249434335,6.7122,4.8638,10.001
"OID20136",0,0,0.825251785714286,0.434871982538905,0.7896,-0.3442,2.7274
"OID20139",0,0,1.83517869897959,1.25644742415805,1.66,-0.7819,5.8474
