"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"33_D0",0.677499317333284,0.669798238078573,8.4906543614302
"386_D0",0.677500715175185,0.659148089735785,4.15722014944683
"253_D0",0.677795706583255,0.671561088975376,6.53591469468692
"312_DE",0.678156031582073,0.671737379522348,1.76274779978695
"157_D0",0.678386043084121,0.647226853790217,5.21752388324056
"344_D7",0.678875004556629,0.675881563820451,9.87624190257932
"260_D0",0.678971341264861,0.656542374045954,6.36409227418224
"369_D0",0.679111437157367,0.675131035582943,2.34927915664165
"263_DE",0.679163151342348,0.656034089738553,4.40819674864987
"263_D0",0.679226423734078,0.672466526576789,3.12459080572309
"167_D0",0.679640019155237,0.649259067219958,3.35803502519582
"330_D7",0.679746590603721,0.673406609188758,2.89678879268859
"358_DE",0.679841580445509,0.662419321694874,7.44759544795837
"72_D0",0.680019961224139,0.675270786561283,3.33459864852999
"42_DE",0.680051319342205,0.659024968599163,10.3413954093977
"251_D3",0.680394715383341,0.674822469293402,5.27924433541427
"53_D3",0.680438785825126,0.651505554032337,7.24596152623004
"306_D3",0.680465134247319,0.654037765115342,4.70376300493733
"134_D0",0.680507467382615,0.677221828050044,3.77414823941835
"182_D0",0.680510067361264,0.670556265128832,5.24491460183423
"51_D0",0.6806889991629,0.657024421660041,4.29876861447542
"179_D3",0.681469911007626,0.670389995347592,7.32396466021663
"9_D0",0.681470745119918,0.668694124578812,5.65285680200579
"291_D3",0.682056351757123,0.667416566066525,6.70146402591193
"106_D7",0.68319296409044,0.684447684761989,4.1769529262648
"255_D3",0.683339809260942,0.673840608325595,6.05225067583958
"318_D0",0.683655696006964,0.674757421150811,7.89894616299262
"308_D0",0.683670085872273,0.681140452603474,4.45452008333048
"314_D0",0.684104516707216,0.681381852960751,3.96290681624755
"210_D3",0.684494174140354,0.657949414431574,4.76977386901048
"335_D0",0.684907539180393,0.67950138787455,1.9828021792505
"327_D0",0.685116347223776,0.663205649519485,4.1499394430662
"153_D7",0.685457325675388,0.671514465979585,6.69817499369993
"13_D0",0.685492000979403,0.680675515173389,2.68977772450228
"135_D7",0.685948776978974,0.683233484190838,6.0702392451426
"240_D0",0.68607765418166,0.682083432578979,2.1975641550263
